utcDate,status,homeTeam,awayTeam
2026-04-25T11:30:00Z,TIMED,Charlton Athletic FC,Hull City AFC
2026-04-25T11:30:00Z,TIMED,Middlesbrough FC,Watford FC
2026-04-25T11:30:00Z,TIMED,West Bromwich Albion FC,Ipswich Town FC
2026-04-25T14:00:00Z,TIMED,Birmingham City FC,Bristol City FC
2026-04-25T14:00:00Z,TIMED,Norwich City FC,Swansea City AFC
2026-04-25T14:00:00Z,TIMED,Oxford United FC,Sheffield Wednesday FC
2026-04-25T14:00:00Z,TIMED,Queens Park Rangers FC,Derby County FC
2026-04-25T14:00:00Z,TIMED,Sheffield United FC,Preston North End FC
2026-04-25T14:00:00Z,TIMED,Stoke City FC,Portsmouth FC
2026-04-26T11:00:00Z,TIMED,Coventry City FC,Wrexham AFC
2026-04-28T18:45:00Z,TIMED,Southampton FC,Ipswich Town FC
2026-05-02T11:30:00Z,TIMED,Blackburn Rovers FC,Leicester City FC
2026-05-02T11:30:00Z,TIMED,Bristol City FC,Stoke City FC
2026-05-02T11:30:00Z,TIMED,Derby County FC,Sheffield United FC
2026-05-02T11:30:00Z,TIMED,Hull City AFC,Norwich City FC
2026-05-02T11:30:00Z,TIMED,Ipswich Town FC,Queens Park Rangers FC
2026-05-02T11:30:00Z,TIMED,Millwall FC,Oxford United FC
2026-05-02T11:30:00Z,TIMED,Portsmouth FC,Birmingham City FC
2026-05-02T11:30:00Z,TIMED,Preston North End FC,Southampton FC
2026-05-02T11:30:00Z,TIMED,Sheffield Wednesday FC,West Bromwich Albion FC
2026-05-02T11:30:00Z,TIMED,Swansea City AFC,Charlton Athletic FC
2026-05-02T11:30:00Z,TIMED,Watford FC,Coventry City FC
2026-05-02T11:30:00Z,TIMED,Wrexham AFC,Middlesbrough FC
