utcDate,status,homeTeam,awayTeam
2026-04-27T19:00:00Z,TIMED,RCD Espanyol de Barcelona,Levante UD
2026-05-10T19:00:00Z,TIMED,FC Barcelona,Real Madrid CF
2026-05-17T00:00:00Z,SCHEDULED,Athletic Club,RC Celta de Vigo
2026-05-17T00:00:00Z,SCHEDULED,Club Atlético de Madrid,Girona FC
2026-05-17T00:00:00Z,SCHEDULED,FC Barcelona,Real Betis Balompié
2026-05-17T00:00:00Z,SCHEDULED,Elche CF,Getafe CF
2026-05-17T00:00:00Z,SCHEDULED,Levante UD,RCD Mallorca
2026-05-17T00:00:00Z,SCHEDULED,Rayo Vallecano de Madrid,Villarreal CF
2026-05-17T00:00:00Z,SCHEDULED,Real Sociedad de Fútbol,Valencia CF
2026-05-17T00:00:00Z,SCHEDULED,Real Oviedo,Deportivo Alavés
2026-05-17T00:00:00Z,SCHEDULED,CA Osasuna,RCD Espanyol de Barcelona
2026-05-17T00:00:00Z,SCHEDULED,Sevilla FC,Real Madrid CF
2026-05-24T00:00:00Z,SCHEDULED,Deportivo Alavés,Rayo Vallecano de Madrid
2026-05-24T00:00:00Z,SCHEDULED,Real Betis Balompié,Levante UD
2026-05-24T00:00:00Z,SCHEDULED,RC Celta de Vigo,Sevilla FC
2026-05-24T00:00:00Z,SCHEDULED,RCD Espanyol de Barcelona,Real Sociedad de Fútbol
2026-05-24T00:00:00Z,SCHEDULED,Getafe CF,CA Osasuna
2026-05-24T00:00:00Z,SCHEDULED,RCD Mallorca,Real Oviedo
2026-05-24T00:00:00Z,SCHEDULED,Real Madrid CF,Athletic Club
2026-05-24T00:00:00Z,SCHEDULED,Villarreal CF,Club Atlético de Madrid
2026-05-24T00:00:00Z,SCHEDULED,Valencia CF,FC Barcelona
2026-05-24T00:00:00Z,SCHEDULED,Girona FC,Elche CF
