utcDate,status,homeTeam,awayTeam
2026-04-25T13:00:00Z,TIMED,Olympique Lyonnais,AJ Auxerre
2026-04-25T17:00:00Z,TIMED,Angers SCO,Paris Saint-Germain FC
2026-04-25T19:05:00Z,TIMED,Toulouse FC,AS Monaco FC
2026-04-26T13:00:00Z,TIMED,FC Lorient,RC Strasbourg Alsace
2026-04-26T15:15:00Z,TIMED,Le Havre AC,FC Metz
2026-04-26T15:15:00Z,TIMED,Paris FC,Lille OSC
2026-04-26T15:15:00Z,TIMED,Stade Rennais FC 1901,FC Nantes
2026-04-26T18:45:00Z,TIMED,Olympique de Marseille,OGC Nice
2026-05-02T13:00:00Z,TIMED,FC Nantes,Olympique de Marseille
2026-05-02T15:00:00Z,TIMED,Paris Saint-Germain FC,FC Lorient
2026-05-02T17:00:00Z,TIMED,FC Metz,AS Monaco FC
2026-05-02T19:05:00Z,TIMED,OGC Nice,Racing Club de Lens
2026-05-03T13:00:00Z,TIMED,Lille OSC,Le Havre AC
2026-05-03T15:15:00Z,TIMED,AJ Auxerre,Angers SCO
2026-05-03T15:15:00Z,TIMED,Paris FC,Stade Brestois 29
2026-05-03T15:15:00Z,TIMED,RC Strasbourg Alsace,Toulouse FC
2026-05-03T18:45:00Z,TIMED,Olympique Lyonnais,Stade Rennais FC 1901
2026-05-08T18:45:00Z,TIMED,Racing Club de Lens,FC Nantes
2026-05-10T19:00:00Z,TIMED,Le Havre AC,Olympique de Marseille
2026-05-10T19:00:00Z,TIMED,AJ Auxerre,OGC Nice
2026-05-10T19:00:00Z,TIMED,AS Monaco FC,Lille OSC
2026-05-10T19:00:00Z,TIMED,FC Metz,FC Lorient
2026-05-10T19:00:00Z,TIMED,Toulouse FC,Olympique Lyonnais
2026-05-10T19:00:00Z,TIMED,Paris Saint-Germain FC,Stade Brestois 29
2026-05-10T19:00:00Z,TIMED,Angers SCO,RC Strasbourg Alsace
2026-05-10T19:00:00Z,TIMED,Stade Rennais FC 1901,Paris FC
2026-05-13T17:00:00Z,TIMED,Stade Brestois 29,RC Strasbourg Alsace
2026-05-13T19:00:00Z,TIMED,Racing Club de Lens,Paris Saint-Germain FC
2026-05-17T19:00:00Z,TIMED,FC Lorient,Le Havre AC
2026-05-17T19:00:00Z,TIMED,FC Nantes,Toulouse FC
2026-05-17T19:00:00Z,TIMED,Paris FC,Paris Saint-Germain FC
2026-05-17T19:00:00Z,TIMED,OGC Nice,FC Metz
2026-05-17T19:00:00Z,TIMED,Olympique Lyonnais,Racing Club de Lens
2026-05-17T19:00:00Z,TIMED,Olympique de Marseille,Stade Rennais FC 1901
2026-05-17T19:00:00Z,TIMED,Lille OSC,AJ Auxerre
2026-05-17T19:00:00Z,TIMED,RC Strasbourg Alsace,AS Monaco FC
2026-05-17T19:00:00Z,TIMED,Stade Brestois 29,Angers SCO
