utcDate,status,homeTeam,awayTeam
2026-04-10T19:00:00Z,TIMED,West Ham United FC,Wolverhampton Wanderers FC
2026-04-11T11:30:00Z,TIMED,Arsenal FC,AFC Bournemouth
2026-04-11T14:00:00Z,TIMED,Brentford FC,Everton FC
2026-04-11T14:00:00Z,TIMED,Burnley FC,Brighton & Hove Albion FC
2026-04-11T16:30:00Z,TIMED,Liverpool FC,Fulham FC
2026-04-12T13:00:00Z,TIMED,Sunderland AFC,Tottenham Hotspur FC
2026-04-12T13:00:00Z,TIMED,Crystal Palace FC,Newcastle United FC
2026-04-12T13:00:00Z,TIMED,Nottingham Forest FC,Aston Villa FC
2026-04-12T15:30:00Z,TIMED,Chelsea FC,Manchester City FC
2026-04-13T19:00:00Z,TIMED,Manchester United FC,Leeds United FC
2026-04-18T11:30:00Z,TIMED,Brentford FC,Fulham FC
2026-04-18T14:00:00Z,TIMED,Newcastle United FC,AFC Bournemouth
2026-04-18T14:00:00Z,TIMED,Leeds United FC,Wolverhampton Wanderers FC
2026-04-18T16:30:00Z,TIMED,Tottenham Hotspur FC,Brighton & Hove Albion FC
2026-04-18T19:00:00Z,TIMED,Chelsea FC,Manchester United FC
2026-04-19T13:00:00Z,TIMED,Nottingham Forest FC,Burnley FC
2026-04-19T13:00:00Z,TIMED,Aston Villa FC,Sunderland AFC
2026-04-19T13:00:00Z,TIMED,Everton FC,Liverpool FC
2026-04-19T15:30:00Z,TIMED,Manchester City FC,Arsenal FC
2026-04-20T19:00:00Z,TIMED,Crystal Palace FC,West Ham United FC
2026-04-24T19:00:00Z,TIMED,Sunderland AFC,Nottingham Forest FC
2026-04-25T11:30:00Z,TIMED,Fulham FC,Aston Villa FC
2026-04-25T14:00:00Z,TIMED,AFC Bournemouth,Leeds United FC
2026-04-25T14:00:00Z,TIMED,Liverpool FC,Crystal Palace FC
2026-04-25T14:00:00Z,TIMED,West Ham United FC,Everton FC
2026-04-25T14:00:00Z,TIMED,Wolverhampton Wanderers FC,Tottenham Hotspur FC
2026-04-25T16:30:00Z,TIMED,Arsenal FC,Newcastle United FC
2026-04-26T13:00:00Z,TIMED,Burnley FC,Manchester City FC
2026-04-26T15:30:00Z,TIMED,Brighton & Hove Albion FC,Chelsea FC
2026-04-27T19:00:00Z,TIMED,Manchester United FC,Brentford FC
2026-05-01T19:00:00Z,TIMED,Leeds United FC,Burnley FC
2026-05-02T11:30:00Z,TIMED,Aston Villa FC,Tottenham Hotspur FC
2026-05-02T14:00:00Z,TIMED,AFC Bournemouth,Crystal Palace FC
2026-05-02T14:00:00Z,TIMED,Brentford FC,West Ham United FC
2026-05-02T14:00:00Z,TIMED,Newcastle United FC,Brighton & Hove Albion FC
2026-05-02T14:00:00Z,TIMED,Wolverhampton Wanderers FC,Sunderland AFC
2026-05-02T16:30:00Z,TIMED,Arsenal FC,Fulham FC
2026-05-03T14:30:00Z,TIMED,Manchester United FC,Liverpool FC
2026-05-04T14:00:00Z,TIMED,Chelsea FC,Nottingham Forest FC
2026-05-04T19:00:00Z,TIMED,Everton FC,Manchester City FC
2026-05-09T14:00:00Z,TIMED,Sunderland AFC,Manchester United FC
2026-05-09T14:00:00Z,TIMED,Brighton & Hove Albion FC,Wolverhampton Wanderers FC
2026-05-09T14:00:00Z,TIMED,Crystal Palace FC,Everton FC
2026-05-09T14:00:00Z,TIMED,Burnley FC,Aston Villa FC
2026-05-09T14:00:00Z,TIMED,Fulham FC,AFC Bournemouth
2026-05-09T14:00:00Z,TIMED,Liverpool FC,Chelsea FC
2026-05-09T14:00:00Z,TIMED,Manchester City FC,Brentford FC
2026-05-09T14:00:00Z,TIMED,Nottingham Forest FC,Newcastle United FC
2026-05-09T14:00:00Z,TIMED,Tottenham Hotspur FC,Leeds United FC
2026-05-09T14:00:00Z,TIMED,West Ham United FC,Arsenal FC
2026-05-17T14:00:00Z,TIMED,AFC Bournemouth,Manchester City FC
2026-05-17T14:00:00Z,TIMED,Aston Villa FC,Liverpool FC
2026-05-17T14:00:00Z,TIMED,Arsenal FC,Burnley FC
2026-05-17T14:00:00Z,TIMED,Brentford FC,Crystal Palace FC
2026-05-17T14:00:00Z,TIMED,Chelsea FC,Tottenham Hotspur FC
2026-05-17T14:00:00Z,TIMED,Everton FC,Sunderland AFC
2026-05-17T14:00:00Z,TIMED,Leeds United FC,Brighton & Hove Albion FC
2026-05-17T14:00:00Z,TIMED,Manchester United FC,Nottingham Forest FC
2026-05-17T14:00:00Z,TIMED,Newcastle United FC,West Ham United FC
2026-05-17T14:00:00Z,TIMED,Wolverhampton Wanderers FC,Fulham FC
2026-05-24T15:00:00Z,TIMED,Sunderland AFC,Chelsea FC
2026-05-24T15:00:00Z,TIMED,Brighton & Hove Albion FC,Manchester United FC
2026-05-24T15:00:00Z,TIMED,Crystal Palace FC,Arsenal FC
2026-05-24T15:00:00Z,TIMED,Burnley FC,Wolverhampton Wanderers FC
2026-05-24T15:00:00Z,TIMED,Fulham FC,Newcastle United FC
2026-05-24T15:00:00Z,TIMED,Liverpool FC,Brentford FC
2026-05-24T15:00:00Z,TIMED,Manchester City FC,Aston Villa FC
2026-05-24T15:00:00Z,TIMED,Nottingham Forest FC,AFC Bournemouth
2026-05-24T15:00:00Z,TIMED,Tottenham Hotspur FC,Everton FC
2026-05-24T15:00:00Z,TIMED,West Ham United FC,Leeds United FC
