utcDate,status,homeTeam,awayTeam
2026-09-02T22:30:00Z,TIMED,CR Flamengo,Mirassol FC
2026-09-05T19:00:00Z,TIMED,RB Bragantino,EC Bahia
2026-09-05T21:30:00Z,TIMED,São Paulo FC,CA Mineiro
2026-09-06T00:00:00Z,TIMED,Fluminense FC,CR Vasco da Gama
2026-09-06T14:00:00Z,TIMED,Coritiba FBC,Mirassol FC
2026-09-06T19:00:00Z,TIMED,Cruzeiro EC,CA Paranaense
2026-09-06T19:00:00Z,TIMED,SC Internacional,Santos FC
2026-09-06T19:00:00Z,TIMED,Clube do Remo,CR Flamengo
2026-09-06T21:30:00Z,TIMED,Botafogo FR,SE Palmeiras
2026-09-06T22:30:00Z,TIMED,SC Corinthians Paulista,Chapecoense AF
2026-09-07T23:00:00Z,TIMED,EC Vitória,Grêmio FBPA
2026-09-12T00:00:00Z,SCHEDULED,EC Bahia,Clube do Remo
2026-09-12T00:00:00Z,SCHEDULED,Coritiba FBC,CA Paranaense
2026-09-12T00:00:00Z,SCHEDULED,CR Flamengo,SC Corinthians Paulista
2026-09-12T00:00:00Z,SCHEDULED,Mirassol FC,EC Vitória
2026-09-19T00:00:00Z,SCHEDULED,CA Paranaense,EC Bahia
2026-09-19T00:00:00Z,SCHEDULED,SC Corinthians Paulista,Fluminense FC
2026-09-19T00:00:00Z,SCHEDULED,CR Flamengo,RB Bragantino
2026-09-19T00:00:00Z,SCHEDULED,Grêmio FBPA,SE Palmeiras
2026-09-19T00:00:00Z,SCHEDULED,EC Vitória,Cruzeiro EC
2026-10-07T00:00:00Z,SCHEDULED,CA Paranaense,CA Mineiro
2026-10-07T00:00:00Z,SCHEDULED,Botafogo FR,CR Vasco da Gama
2026-10-07T00:00:00Z,SCHEDULED,RB Bragantino,Mirassol FC
2026-10-07T00:00:00Z,SCHEDULED,Cruzeiro EC,São Paulo FC
2026-10-07T00:00:00Z,SCHEDULED,Fluminense FC,Coritiba FBC
2026-10-07T00:00:00Z,SCHEDULED,SC Internacional,SC Corinthians Paulista
