utcDate,status,homeTeam,awayTeam
2026-05-22T18:45:00Z,TIMED,ACF Fiorentina,Atalanta BC
2026-05-23T16:00:00Z,TIMED,Bologna FC 1909,FC Internazionale Milano
2026-05-23T18:45:00Z,TIMED,SS Lazio,AC Pisa 1909
2026-05-24T13:00:00Z,TIMED,Torino FC,Juventus FC
2026-05-24T13:00:00Z,TIMED,Parma Calcio 1913,US Sassuolo Calcio
2026-05-24T16:00:00Z,TIMED,SSC Napoli,Udinese Calcio
2026-05-24T18:45:00Z,TIMED,AC Milan,Cagliari Calcio
2026-05-24T18:45:00Z,TIMED,Hellas Verona FC,AS Roma
2026-05-24T18:45:00Z,TIMED,US Cremonese,Como 1907
2026-05-24T18:45:00Z,TIMED,US Lecce,Genoa CFC
