position,team,gp,w,d,l,gf,ga,gd,pts
1,Coventry City,40,25,8,7,84,42,42,83
2,Millwall,40,21,9,10,55,45,10,72
3,Middlesbrough,40,20,11,9,60,39,21,71
4,Ipswich Town,38,19,12,7,67,39,28,69
5,Hull City,40,20,7,13,63,58,5,67
6,Wrexham,40,17,13,10,62,53,9,64
7,Southampton,39,17,12,10,63,48,15,63
8,Derby County,40,17,9,14,58,51,7,60
9,Watford,40,14,14,12,51,48,3,56
10,Queens Park Rangers,40,16,8,16,57,62,-5,56
11,Norwich City,40,16,7,17,53,47,6,55
12,Stoke City,40,15,9,16,48,43,5,54
13,Bristol City,40,15,9,16,51,51,0,54
14,Birmingham City,40,14,11,15,48,50,-2,53
15,Preston North End,40,13,14,13,47,51,-4,53
16,Swansea City,40,15,8,17,47,52,-5,53
17,Sheffield United,40,15,6,19,57,57,0,51
18,Charlton Athletic,40,12,12,16,37,48,-11,48
19,Blackburn Rovers,40,12,10,18,37,49,-12,46
20,West Bromwich Albion,40,11,11,18,42,56,-14,44
21,Portsmouth,39,10,11,18,38,55,-17,41
22,Leicester City,40,11,13,16,53,62,-9,40
23,Oxford United,40,9,13,18,37,52,-15,40
24,Sheffield Wednesday,40,1,9,30,24,81,-57,-6
