position,team,gp,w,d,l,gf,ga,gd,pts
1,AZ Alkmaar,2,2,0,0,6,1,5,6
2,Fortuna Sittard,2,1,1,0,5,3,2,4
3,PSV Eindhoven,2,1,1,0,4,3,1,4
4,Go Ahead Eagles,1,1,0,0,4,1,3,3
5,Ajax Amsterdam,1,1,0,0,2,0,2,3
6,FC Groningen,1,1,0,0,2,1,1,3
7,Feyenoord Rotterdam,1,1,0,0,1,0,1,3
8,Heerenveen,1,1,0,0,1,0,1,3
9,Excelsior,2,1,0,1,5,2,3,3
10,NEC Nijmegen,2,1,0,1,5,3,2,3
11,Sparta Rotterdam,2,1,0,1,3,2,1,3
12,Telstar,2,1,0,1,3,4,-1,3
13,FC Twente,1,0,0,1,0,1,-1,0
14,ADO Den Haag,1,0,0,1,0,2,-2,0
15,PEC Zwolle,1,0,0,1,0,2,-2,0
16,FC Utrecht,2,0,0,2,2,6,-4,0
17,Willem II,2,0,0,2,2,8,-6,0
18,SC Cambuur,2,0,0,2,1,7,-6,0
