position,team,gp,w,d,l,gf,ga,gd,pts
1,Paris Saint-Germain,32,23,4,5,71,27,44,73
2,Lens,32,21,4,7,62,33,29,67
3,Lille,33,18,7,8,52,35,17,61
4,Lyon,33,18,6,9,53,36,17,60
5,Stade Rennais,33,17,8,8,58,47,11,59
6,Marseille,33,17,5,11,60,44,16,56
7,AS Monaco,33,16,6,11,56,49,7,54
8,Strasbourg,33,14,8,11,53,43,10,50
9,Lorient,33,11,12,10,48,49,-1,45
10,Toulouse,33,12,8,13,47,46,1,44
11,Paris FC,33,10,11,12,45,49,-4,41
12,Brest,33,10,8,15,42,54,-12,38
13,Angers,33,9,8,16,28,47,-19,35
14,Le Havre AC,33,6,14,13,30,44,-14,32
15,AJ Auxerre,33,7,10,16,32,44,-12,31
16,Nice,33,7,10,16,37,60,-23,31
17,Nantes,33,5,8,20,29,52,-23,23
18,Metz,33,3,7,23,32,76,-44,16
