position,team,gp,w,d,l,gf,ga,gd,pts
1,FC Porto,5,5,0,0,11,1,10,15
2,Sporting CP,5,4,1,0,14,5,9,13
3,Benfica,4,3,1,0,14,3,11,10
4,Arouca,4,3,0,1,7,3,4,9
5,Santa Clara,4,2,2,0,5,3,2,8
6,Gil Vicente,3,2,1,0,3,0,3,7
7,Braga,3,2,1,0,5,3,2,7
8,Maritimo,5,2,1,2,6,8,-2,7
9,Estrela,4,1,3,0,9,8,1,6
10,C.D. Nacional,5,1,1,3,6,8,-2,4
11,Moreirense,4,1,1,2,4,8,-4,4
12,Vitória de Guimaraes,4,1,0,3,3,5,-2,3
13,FC Famalicao,5,0,3,2,4,6,-2,3
14,Rio Ave,4,1,0,3,2,7,-5,3
15,Académico de Viseu,4,0,2,2,4,8,-4,2
16,Alverca,5,0,2,3,5,10,-5,2
17,Estoril,4,0,1,3,2,7,-5,1
18,Casa Pia,4,0,0,4,0,11,-11,0
