position,team,gp,w,d,l,gf,ga,gd,pts
1,Internazionale,1,1,0,0,4,1,3,3
2,Napoli,1,1,0,0,2,0,2,3
3,Cagliari,1,1,0,0,1,0,1,3
4,Como,1,0,1,0,1,1,0,1
5,Udinese,1,0,1,0,1,1,0,1
6,AC Milan,0,0,0,0,0,0,0,0
7,Atalanta,0,0,0,0,0,0,0,0
8,Bologna,0,0,0,0,0,0,0,0
9,Fiorentina,0,0,0,0,0,0,0,0
10,Frosinone,0,0,0,0,0,0,0,0
11,Juventus,0,0,0,0,0,0,0,0
12,Lazio,0,0,0,0,0,0,0,0
13,Lecce,0,0,0,0,0,0,0,0
14,AS Roma,0,0,0,0,0,0,0,0
15,Sassuolo,0,0,0,0,0,0,0,0
16,Torino,0,0,0,0,0,0,0,0
17,Venezia,0,0,0,0,0,0,0,0
18,Parma,1,0,0,1,0,1,-1,0
19,Genoa,1,0,0,1,0,2,-2,0
20,Monza,1,0,0,1,1,4,-3,0
