home_team,away_team,p_home_book,p_draw_book,p_away_book
1. FC Heidenheim,FC St. Pauli,0.3813801253091519,0.2838054609741528,0.33481441371669524
1. FC Köln,Bayer Leverkusen,0.2404981305221993,0.23723980805521244,0.5222620614225881
Augsburg,Eintracht Frankfurt,0.386018069245655,0.2587425154255329,0.3552394153288121
Bayer Leverkusen,RB Leipzig,0.46516016755234035,0.23202895890764524,0.30281087354001446
Bayern Munich,1. FC Heidenheim,0.7920104549317635,0.12159907368871258,0.08639047137952395
Borussia Dortmund,SC Freiburg,0.6543158888945773,0.20290502439491925,0.14277908671050343
Borussia Monchengladbach,Borussia Dortmund,0.26381508813970833,0.257357735003983,0.47882717685630866
Eintracht Frankfurt,Hamburger SV,0.5419014635454968,0.2313462906310972,0.22675224582340595
FC St. Pauli,FSV Mainz 05,0.3268195618410979,0.2935379689475619,0.37964246921134015
FSV Mainz 05,Bayern Munich,0.1965142300069792,0.2075424980610458,0.595943271931975
Hamburger SV,TSG Hoffenheim,0.24219390945267166,0.23707791437215117,0.5207281761751771
RB Leipzig,Union Berlin,0.7010206379047584,0.18373125147279185,0.11524811062244966
SC Freiburg,VfL Wolfsburg,0.48449490076718094,0.25297519357421056,0.26252990565860845
TSG Hoffenheim,VfB Stuttgart,0.40332346398423646,0.2362756899300225,0.3604008460857411
Union Berlin,1. FC Köln,0.394541495771397,0.28086097466807,0.324597529560533
VfB Stuttgart,Werder Bremen,0.6190890357687069,0.2113339874509439,0.16957697678034916
VfL Wolfsburg,Borussia Monchengladbach,0.410148899218702,0.2607440306095262,0.32910707017177165
Werder Bremen,Augsburg,0.4975282250280857,0.2393183935377664,0.2631533814341479
