home_team,away_team,p_home_book,p_draw_book,p_away_book
ADO Den Haag,SC Cambuur,0.5395193027630928,0.22926657558600905,0.23121412165089822
AZ Alkmaar,SC Telstar,0.7397179829818068,0.15283461751618235,0.10744739950201088
Ajax,Excelsior,0.6702469736344877,0.18271539864336275,0.14703762772214954
Ajax,Willem II,0.7993135974381489,0.12233845640015735,0.07834794616169391
Excelsior,FC Utrecht,0.45029734037401664,0.25465722359363785,0.29504543603234545
FC Twente Enschede,PSV Eindhoven,0.33059385682148995,0.23002028308014932,0.43938586009836084
FC Zwolle,Feyenoord,0.15940430962820068,0.19277909520396744,0.6478165951678319
Feyenoord,FC Utrecht,0.7052659005130306,0.17129149460541773,0.12344260488155158
Groningen,FC Zwolle,0.5601330052399579,0.2273931300743037,0.2124738646857383
Heerenveen,SC Telstar,0.5894034495708125,0.20934819927685341,0.20124835115233414
NEC Nijmegen,Go Ahead Eagles,0.5545719277162536,0.21883197299525484,0.22659609928849156
PSV Eindhoven,Sparta Rotterdam,0.8086885423809669,0.1154489567892818,0.07586250082975131
Sparta Rotterdam,Heerenveen,0.3108198009690538,0.25253721941094764,0.43664297961999854
Willem II,Fortuna Sittard,0.3601277024626264,0.2579731640153446,0.38189913352202903
