home_team,away_team,p_home_book,p_draw_book,p_away_book
Bournemouth,Manchester City,0.20719438426076522,0.22135199295381752,0.5714536227854172
Brighton and Hove Albion,Manchester United,0.48801309771304463,0.24450912672439756,0.2674777755625578
Burnley,Wolverhampton Wanderers,0.38147638737451783,0.27030128933891084,0.3482223232865713
Chelsea,Tottenham Hotspur,0.4957794632923978,0.25601999765894234,0.24820053904865982
Crystal Palace,Arsenal,0.137148735650123,0.20598458604366748,0.6568666783062095
Fulham,Newcastle United,0.32874298157028103,0.259718993057277,0.41153802537244194
Liverpool,Brentford,0.54187812683914,0.2320680566913792,0.22605381646948075
Manchester City,Aston Villa,0.7109398668847801,0.1726637317342515,0.11639640138096848
Nottingham Forest,Bournemouth,0.30724446332333344,0.2587383796319827,0.4340171570446839
Sunderland,Chelsea,0.26567343087025036,0.2616540457518822,0.47267252337786736
Tottenham Hotspur,Everton,0.43105711305284883,0.26262841941295084,0.30631446753420033
West Ham United,Leeds United,0.4354883637563738,0.2644806960276991,0.3000309402159272
