home_team,away_team,p_home_book,p_draw_book,p_away_book
Académico de Viseu,Vitória SC,0.26618801687626426,0.2811588995127747,0.45265308361096107
Arouca,Santa Clara,0.35844598225135754,0.3018341359410629,0.33971988180757956
Benfica,Gil Vicente,0.8144107152703307,0.12624219006379178,0.059347094665877516
Braga,Estoril,0.6004941440959414,0.23267702882789842,0.16682882707616017
CF Estrela,Braga,0.18373590886302318,0.2523194528653783,0.5639446382715985
Casa Pia,FC Porto,0.07838913014815035,0.16993747969583436,0.7516733901560153
Famalicão,Sporting Lisbon,0.18542700263554462,0.22892502212175542,0.5856479752427
Moreirense FC,CS Maritimo,0.3469027687642174,0.2985146778990689,0.3545825533367137
Nacional,Alverca,0.36649501284184527,0.2837856779880927,0.34971930917006205
Rio Ave FC,CF Estrela,0.34547262623572284,0.28806529773477235,0.3664620760295048
