home_team,away_team,p_home_book,p_draw_book,p_away_book
AS Roma,Lazio,0.5940968207269407,0.23807796558884026,0.16782521368421896
Atalanta BC,Bologna,0.58707184576487,0.22693771048121805,0.18599044375391194
Cagliari,Torino,0.38990091906290447,0.3036977630914233,0.3064013178456722
Como,Parma,0.7481929221891841,0.16599885649123844,0.08580822131957748
Genoa,AC Milan,0.20167730090521432,0.2575625993108974,0.5407600997838883
Inter Milan,Hellas Verona,0.7910790501140804,0.13921684157508177,0.06970410831083779
Juventus,Fiorentina,0.6991572685040249,0.18525224241750976,0.11559048907846525
Napoli,Bologna,0.6118728279740437,0.23248426248119455,0.15564290954476176
Pisa,Napoli,0.12636293043613792,0.20778440053181993,0.6658526690320421
Sassuolo,Lecce,0.3578360359032957,0.29417748712731023,0.347986476969394
Udinese,Cremonese,0.44118089675703454,0.278251848154952,0.2805672550880134
