utcDate,matchday,status,homeTeam,awayTeam,homeGoals,awayGoals,winner
2026-08-28T18:30:00Z,1,FINISHED,FC Bayern München,VfB Stuttgart,5,1,HOME_TEAM
2026-08-29T13:30:00Z,1,FINISHED,RB Leipzig,Borussia Mönchengladbach,3,0,HOME_TEAM
2026-08-29T13:30:00Z,1,FINISHED,1. FSV Mainz 05,SC Paderborn 07,0,0,DRAW
2026-08-29T13:30:00Z,1,FINISHED,1. FC Union Berlin,Eintracht Frankfurt,3,3,DRAW
2026-08-29T13:30:00Z,1,FINISHED,SV 07 Elversberg,Bayer 04 Leverkusen,3,2,HOME_TEAM
2026-08-29T13:30:00Z,1,FINISHED,1. FC Köln,TSG 1899 Hoffenheim,3,2,HOME_TEAM
2026-08-29T16:30:00Z,1,FINISHED,Borussia Dortmund,Hamburger SV,2,0,HOME_TEAM
2026-08-30T13:30:00Z,1,FINISHED,SC Freiburg,SV Werder Bremen,4,1,HOME_TEAM
2026-08-30T15:30:00Z,1,FINISHED,FC Augsburg,FC Schalke 04,3,0,HOME_TEAM
2026-09-04T18:30:00Z,2,FINISHED,VfB Stuttgart,1. FC Köln,4,1,HOME_TEAM
2026-09-05T13:30:00Z,2,FINISHED,SV Werder Bremen,RB Leipzig,3,1,HOME_TEAM
2026-09-05T13:30:00Z,2,FINISHED,TSG 1899 Hoffenheim,Borussia Dortmund,2,3,AWAY_TEAM
2026-09-05T13:30:00Z,2,FINISHED,Bayer 04 Leverkusen,1. FC Union Berlin,4,0,HOME_TEAM
2026-09-05T13:30:00Z,2,FINISHED,Borussia Mönchengladbach,SV 07 Elversberg,3,4,AWAY_TEAM
2026-09-05T13:30:00Z,2,FINISHED,SC Paderborn 07,SC Freiburg,0,1,AWAY_TEAM
2026-09-05T16:30:00Z,2,FINISHED,FC Schalke 04,FC Bayern München,0,0,DRAW
2026-09-06T13:30:00Z,2,FINISHED,Hamburger SV,1. FSV Mainz 05,0,5,AWAY_TEAM
2026-09-06T15:30:00Z,2,FINISHED,Eintracht Frankfurt,FC Augsburg,1,4,AWAY_TEAM
2026-09-11T18:30:00Z,3,FINISHED,1. FC Union Berlin,FC Schalke 04,1,3,AWAY_TEAM
