utcDate,matchday,status,homeTeam,awayTeam,homeGoals,awayGoals,winner
2026-08-21T18:45:00Z,1,FINISHED,Olympique de Marseille,RC Strasbourg Alsace,4,0,HOME_TEAM
2026-08-22T15:15:00Z,1,FINISHED,Racing Club de Lens,AJ Auxerre,5,2,HOME_TEAM
2026-08-22T18:45:00Z,1,FINISHED,Le Mans FC,Stade Brestois 29,2,2,DRAW
2026-08-22T18:45:00Z,1,FINISHED,ES Troyes AC,Paris FC,0,0,DRAW
2026-08-22T18:45:00Z,1,FINISHED,OGC Nice,FC Lorient,0,0,DRAW
2026-08-22T18:45:00Z,1,FINISHED,Toulouse FC,Olympique Lyonnais,0,2,AWAY_TEAM
2026-08-23T13:00:00Z,1,FINISHED,Angers SCO,Lille OSC,0,2,AWAY_TEAM
2026-08-23T15:15:00Z,1,FINISHED,Le Havre AC,AS Monaco FC,0,1,AWAY_TEAM
2026-08-23T18:45:00Z,1,FINISHED,Stade Rennais FC 1901,Paris Saint-Germain FC,2,2,DRAW
2026-08-28T18:45:00Z,2,FINISHED,Lille OSC,Paris Saint-Germain FC,2,2,DRAW
2026-08-29T15:15:00Z,2,FINISHED,RC Strasbourg Alsace,Racing Club de Lens,2,1,HOME_TEAM
2026-08-29T18:45:00Z,2,FINISHED,FC Lorient,ES Troyes AC,1,2,AWAY_TEAM
2026-08-29T18:45:00Z,2,FINISHED,Olympique Lyonnais,Le Havre AC,1,1,DRAW
2026-08-29T18:45:00Z,2,FINISHED,AJ Auxerre,Angers SCO,1,3,AWAY_TEAM
2026-08-29T18:45:00Z,2,FINISHED,Stade Brestois 29,Toulouse FC,2,2,DRAW
2026-08-30T13:00:00Z,2,FINISHED,Paris FC,OGC Nice,3,0,HOME_TEAM
2026-08-30T15:15:00Z,2,FINISHED,Stade Rennais FC 1901,Le Mans FC,3,2,HOME_TEAM
2026-08-30T18:45:00Z,2,FINISHED,AS Monaco FC,Olympique de Marseille,2,0,HOME_TEAM
2026-09-03T18:45:00Z,3,FINISHED,Toulouse FC,Lille OSC,0,1,AWAY_TEAM
2026-09-04T17:00:00Z,3,FINISHED,Olympique Lyonnais,AJ Auxerre,3,1,HOME_TEAM
2026-09-04T19:05:00Z,3,FINISHED,Paris Saint-Germain FC,AS Monaco FC,1,2,AWAY_TEAM
2026-09-05T15:15:00Z,3,FINISHED,Racing Club de Lens,FC Lorient,0,1,AWAY_TEAM
2026-09-05T18:45:00Z,3,FINISHED,Le Havre AC,Stade Brestois 29,1,2,AWAY_TEAM
2026-09-05T18:45:00Z,3,FINISHED,OGC Nice,Le Mans FC,1,1,DRAW
2026-09-06T13:00:00Z,3,FINISHED,ES Troyes AC,RC Strasbourg Alsace,2,6,AWAY_TEAM
2026-09-06T15:15:00Z,3,FINISHED,Angers SCO,Stade Rennais FC 1901,1,2,AWAY_TEAM
2026-09-06T18:45:00Z,3,FINISHED,Olympique de Marseille,Paris FC,2,3,AWAY_TEAM
2026-09-11T18:45:00Z,4,FINISHED,Stade Rennais FC 1901,Olympique de Marseille,1,0,HOME_TEAM
2026-09-12T15:15:00Z,4,FINISHED,RC Strasbourg Alsace,AS Monaco FC,1,1,DRAW
2026-09-12T18:45:00Z,4,FINISHED,FC Lorient,Toulouse FC,2,2,DRAW
2026-09-12T18:45:00Z,4,FINISHED,AJ Auxerre,OGC Nice,1,0,HOME_TEAM
2026-09-12T18:45:00Z,4,FINISHED,Le Havre AC,Angers SCO,0,0,DRAW
2026-09-12T18:45:00Z,4,FINISHED,Paris FC,Olympique Lyonnais,0,0,DRAW
2026-09-13T13:00:00Z,4,FINISHED,Lille OSC,ES Troyes AC,2,0,HOME_TEAM
2026-09-13T15:15:00Z,4,FINISHED,Le Mans FC,Racing Club de Lens,2,2,DRAW
2026-09-13T18:45:00Z,4,FINISHED,Stade Brestois 29,Paris Saint-Germain FC,0,1,AWAY_TEAM
2026-09-18T18:45:00Z,5,FINISHED,AS Monaco FC,Racing Club de Lens,2,1,HOME_TEAM
2026-09-19T15:15:00Z,5,FINISHED,Paris FC,RC Strasbourg Alsace,2,1,HOME_TEAM
2026-09-19T18:45:00Z,5,FINISHED,Le Mans FC,FC Lorient,2,1,HOME_TEAM
2026-09-19T18:45:00Z,5,FINISHED,Toulouse FC,Le Havre AC,3,2,HOME_TEAM
2026-09-19T18:45:00Z,5,FINISHED,Angers SCO,ES Troyes AC,2,0,HOME_TEAM
2026-09-19T18:45:00Z,5,FINISHED,Olympique Lyonnais,Stade Rennais FC 1901,4,0,HOME_TEAM
