utcDate,matchday,status,homeTeam,awayTeam,homeGoals,awayGoals,winner
2026-01-28T22:00:00Z,1,FINISHED,CA Mineiro,SE Palmeiras,2,2,DRAW
2026-01-28T22:00:00Z,1,FINISHED,Coritiba FBC,RB Bragantino,0,1,AWAY_TEAM
2026-01-28T22:00:00Z,1,FINISHED,SC Internacional,CA Paranaense,0,1,AWAY_TEAM
2026-01-28T22:00:00Z,1,FINISHED,EC Vitória,Clube do Remo,2,0,HOME_TEAM
2026-01-28T22:30:00Z,1,FINISHED,Fluminense FC,Grêmio FBPA,2,1,HOME_TEAM
2026-01-28T23:00:00Z,1,FINISHED,Chapecoense AF,Santos FC,4,2,HOME_TEAM
2026-01-28T23:00:00Z,1,FINISHED,SC Corinthians Paulista,EC Bahia,1,2,AWAY_TEAM
2026-01-29T00:30:00Z,1,FINISHED,São Paulo FC,CR Flamengo,2,1,HOME_TEAM
2026-01-29T23:00:00Z,1,FINISHED,Mirassol FC,CR Vasco da Gama,2,1,HOME_TEAM
2026-01-30T00:30:00Z,1,FINISHED,Botafogo FR,Cruzeiro EC,4,0,HOME_TEAM
2026-02-04T22:00:00Z,2,FINISHED,RB Bragantino,CA Mineiro,1,0,HOME_TEAM
2026-02-04T22:00:00Z,2,FINISHED,CR Flamengo,SC Internacional,1,1,DRAW
2026-02-04T23:00:00Z,2,FINISHED,Clube do Remo,Mirassol FC,2,2,DRAW
2026-02-04T23:00:00Z,2,FINISHED,Santos FC,São Paulo FC,1,1,DRAW
2026-02-05T00:30:00Z,2,FINISHED,Grêmio FBPA,Botafogo FR,5,3,HOME_TEAM
2026-02-05T00:30:00Z,2,FINISHED,SE Palmeiras,EC Vitória,5,1,HOME_TEAM
2026-02-05T22:00:00Z,2,FINISHED,EC Bahia,Fluminense FC,1,1,DRAW
2026-02-05T23:00:00Z,2,FINISHED,CR Vasco da Gama,Chapecoense AF,1,1,DRAW
2026-02-06T00:30:00Z,2,FINISHED,Cruzeiro EC,Coritiba FBC,1,2,AWAY_TEAM
2026-02-11T00:30:00Z,3,FINISHED,EC Vitória,CR Flamengo,1,2,AWAY_TEAM
2026-02-11T22:00:00Z,3,FINISHED,Chapecoense AF,Coritiba FBC,3,3,DRAW
2026-02-11T22:00:00Z,3,FINISHED,Mirassol FC,Cruzeiro EC,2,2,DRAW
2026-02-11T23:00:00Z,3,FINISHED,CA Mineiro,Clube do Remo,3,3,DRAW
2026-02-12T00:30:00Z,3,FINISHED,São Paulo FC,Grêmio FBPA,2,0,HOME_TEAM
2026-02-12T00:30:00Z,3,FINISHED,CR Vasco da Gama,EC Bahia,0,1,AWAY_TEAM
2026-02-12T22:00:00Z,3,FINISHED,CA Paranaense,Santos FC,2,1,HOME_TEAM
2026-02-12T22:30:00Z,3,FINISHED,Fluminense FC,Botafogo FR,1,0,HOME_TEAM
2026-02-12T23:00:00Z,3,FINISHED,SC Corinthians Paulista,RB Bragantino,2,0,HOME_TEAM
2026-02-13T00:30:00Z,3,FINISHED,SC Internacional,SE Palmeiras,1,3,AWAY_TEAM
2026-02-19T22:30:00Z,2,FINISHED,CA Paranaense,SC Corinthians Paulista,0,1,AWAY_TEAM
