Internazionale,AC Milan,Napoli,Como,AS Roma,Juventus,Atalanta,Bologna,Sassuolo,Lazio,Udinese,Parma,Genoa,Cagliari,Torino,Lecce,Fiorentina,Cremonese,Hellas Verona,Pisa
9742.0,246.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
254.0,7930.0,1188.0,376.0,59.0,192.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,1289.0,4103.0,2368.0,862.0,1365.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,389.0,2316.0,2952.0,1738.0,2533.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,112.0,1545.0,2337.0,2554.0,3196.0,256.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,32.0,786.0,1780.0,4077.0,2323.0,992.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,2.0,51.0,184.0,700.0,388.0,8150.0,280.0,139.0,80.0,22.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,2.0,10.0,3.0,440.0,3867.0,2650.0,2118.0,711.0,108.0,54.0,25.0,12.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,69.0,2551.0,2688.0,2580.0,1468.0,333.0,171.0,86.0,47.0,3.0,4.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,9.0,1777.0,2267.0,2356.0,2056.0,687.0,482.0,205.0,137.0,8.0,15.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,2.0,970.0,1301.0,1742.0,2715.0,1337.0,1014.0,465.0,367.0,24.0,52.0,11.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,383.0,570.0,728.0,1501.0,2439.0,1991.0,1156.0,871.0,132.0,196.0,33.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.0,262.0,262.0,848.0,2226.0,2173.0,1873.0,1389.0,317.0,410.0,116.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,87.0,105.0,471.0,1584.0,1810.0,2242.0,1913.0,648.0,891.0,216.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,27.0,22.0,161.0,871.0,1189.0,2011.0,2220.0,1362.0,1639.0,490.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,6.0,41.0,345.0,727.0,1235.0,1757.0,2271.0,2506.0,1090.0,13.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,60.0,311.0,552.0,959.0,3315.0,2507.0,2218.0,43.0,28.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,76.0,150.0,326.0,1820.0,1666.0,5350.0,349.0,256.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,97.0,109.0,437.0,6079.0,3275.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,38.0,3516.0,6438.0
