Bayern Munich,Borussia Dortmund,TSG Hoffenheim,VfB Stuttgart,RB Leipzig,Bayer Leverkusen,Eintracht Frankfurt,SC Freiburg,FC Augsburg,Hamburg SV,1. FC Union Berlin,Borussia Mönchengladbach,Werder Bremen,FC Cologne,Mainz,St. Pauli,VfL Wolfsburg,1. FC Heidenheim 1846
10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,8941.0,843.0,62.0,135.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,918.0,5798.0,1010.0,1955.0,319.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,117.0,2257.0,2603.0,3530.0,1492.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,22.0,831.0,3507.0,2648.0,2978.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,2.0,271.0,2742.0,1706.0,5061.0,173.0,39.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,74.0,26.0,125.0,6305.0,2749.0,349.0,172.0,150.0,9.0,3.0,17.0,16.0,5.0,0.0,0.0
0.0,0.0,0.0,2.0,0.0,5.0,2430.0,4925.0,1112.0,626.0,640.0,66.0,26.0,66.0,74.0,28.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1.0,712.0,1425.0,2875.0,1864.0,1774.0,343.0,194.0,385.0,264.0,158.0,5.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,251.0,552.0,2086.0,2082.0,2147.0,690.0,417.0,778.0,605.0,382.0,10.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,76.0,202.0,1536.0,1839.0,1851.0,1136.0,638.0,1082.0,1013.0,605.0,22.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,27.0,69.0,960.0,1419.0,1326.0,1446.0,1052.0,1383.0,1367.0,890.0,61.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,7.0,30.0,575.0,937.0,972.0,1605.0,1350.0,1577.0,1562.0,1247.0,137.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,6.0,7.0,322.0,563.0,624.0,1671.0,1702.0,1574.0,1649.0,1585.0,296.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.0,325.0,350.0,1455.0,1997.0,1525.0,1580.0,2018.0,607.0,9.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,155.0,143.0,1243.0,1941.0,1280.0,1448.0,2282.0,1397.0,65.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16.0,23.0,326.0,668.0,319.0,408.0,781.0,6921.0,537.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,12.0,14.0,14.0,19.0,544.0,9387.0
