Paris Saint-Germain,Lens,Marseille,Lyon,Stade Rennais,Lille,AS Monaco,Strasbourg,Brest,Lorient,Angers,Toulouse,Paris FC,Le Havre AC,Nice,AJ Auxerre,Nantes,Metz
7267.0,2731.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2716.0,7129.0,126.0,27.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16.0,127.0,6779.0,2049.0,665.0,143.0,201.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,12.0,2129.0,4501.0,1903.0,583.0,724.0,137.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,658.0,2006.0,3431.0,1496.0,1618.0,702.0,72.0,15.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,222.0,945.0,2204.0,2533.0,2443.0,1365.0,230.0,51.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,71.0,360.0,1134.0,2737.0,2484.0,2249.0,652.0,241.0,12.0,59.0,1.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,12.0,95.0,546.0,1879.0,1754.0,2851.0,1692.0,821.0,102.0,238.0,9.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,2.0,14.0,95.0,480.0,603.0,1606.0,3455.0,2226.0,406.0,1061.0,39.0,13.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,2.0,18.0,125.0,143.0,777.0,2315.0,3330.0,932.0,2132.0,140.0,81.0,5.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,2.0,20.0,28.0,222.0,1101.0,2146.0,2373.0,3306.0,451.0,304.0,47.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0,3.0,2.0,62.0,395.0,913.0,3948.0,2263.0,1269.0,940.0,190.0,13.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,75.0,224.0,1627.0,725.0,3725.0,2697.0,831.0,86.0,2.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,28.0,502.0,187.0,2971.0,3699.0,2103.0,482.0,18.0,3.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,95.0,21.0,1229.0,1864.0,4739.0,1890.0,133.0,27.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,164.0,395.0,1952.0,5869.0,1379.0,238.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,127.0,1517.0,6329.0,2019.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,143.0,2138.0,7713.0
