Internazionale,AC Milan,Napoli,Como,Juventus,AS Roma,Atalanta,Bologna,Lazio,Sassuolo,Udinese,Parma,Genoa,Torino,Cagliari,Fiorentina,Lecce,Cremonese,Pisa,Hellas Verona
9868.0,99.0,30.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122.0,5863.0,2531.0,1038.0,426.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,2398.0,3539.0,2463.0,1386.0,203.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1122.0,2224.0,3150.0,2747.0,719.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,422.0,1266.0,2426.0,3741.0,1941.0,203.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,94.0,398.0,849.0,1539.0,5904.0,1205.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,2.0,12.0,70.0,160.0,1183.0,7808.0,507.0,207.0,37.0,10.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,1.0,1.0,27.0,638.0,4867.0,3181.0,803.0,359.0,17.0,82.0,21.0,1.0,1.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,3.0,86.0,2814.0,3697.0,1966.0,917.0,95.0,284.0,119.0,9.0,10.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,19.0,1249.0,1827.0,3354.0,1873.0,269.0,901.0,396.0,62.0,45.0,5.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,440.0,773.0,2132.0,2891.0,705.0,1801.0,866.0,205.0,159.0,23.0,4.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,219.0,935.0,2007.0,1590.0,2470.0,1560.0,562.0,479.0,76.0,4.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,73.0,469.0,1099.0,2192.0,1873.0,2076.0,1081.0,918.0,179.0,28.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,18.0,227.0,524.0,2320.0,1332.0,2005.0,1615.0,1481.0,409.0,66.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,60.0,236.0,1688.0,785.0,1607.0,2333.0,2222.0,878.0,181.0,5.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,76.0,905.0,354.0,1077.0,2632.0,2538.0,1889.0,497.0,16.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,202.0,106.0,239.0,1212.0,1716.0,4659.0,1704.0,144.0,9.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,17.0,8.0,34.0,284.0,421.0,1739.0,6433.0,941.0,121.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,9.0,140.0,997.0,6607.0,2243.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,86.0,2286.0,7625.0
