Bayern Munich,Borussia Dortmund,RB Leipzig,VfB Stuttgart,TSG Hoffenheim,Bayer Leverkusen,Eintracht Frankfurt,SC Freiburg,FC Augsburg,1. FC Union Berlin,Hamburg SV,Borussia Mönchengladbach,Werder Bremen,Mainz,FC Cologne,St. Pauli,VfL Wolfsburg,1. FC Heidenheim 1846
10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,9904.0,29.0,39.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,89.0,4223.0,3227.0,2207.0,254.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,7.0,3311.0,3134.0,2748.0,796.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1848.0,2604.0,3451.0,2073.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,579.0,981.0,1543.0,6592.0,287.0,15.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,10.0,15.0,23.0,279.0,7713.0,1405.0,263.0,155.0,51.0,27.0,1.0,51.0,6.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,6.0,1486.0,5173.0,1104.0,1056.0,381.0,216.0,27.0,497.0,39.0,15.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,362.0,1952.0,2175.0,2090.0,1049.0,792.0,119.0,1122.0,284.0,55.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,88.0,799.0,1842.0,2103.0,1597.0,1171.0,302.0,1373.0,604.0,118.0,3.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,29.0,408.0,1522.0,1657.0,1725.0,1416.0,591.0,1496.0,905.0,247.0,4.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6.0,160.0,1169.0,1246.0,1693.0,1552.0,892.0,1552.0,1261.0,453.0,16.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,58.0,890.0,860.0,1387.0,1676.0,1337.0,1364.0,1693.0,694.0,40.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,645.0,502.0,1107.0,1590.0,1829.0,1149.0,1854.0,1194.0,105.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,310.0,243.0,691.0,1059.0,2785.0,877.0,1802.0,1925.0,299.0,4.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,81.0,307.0,452.0,1910.0,475.0,1382.0,4112.0,1181.0,30.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,6.0,12.0,49.0,206.0,44.0,167.0,1164.0,7863.0,481.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,22.0,489.0,9485.0
