Barcelona,Real Madrid,Villarreal,Atlético Madrid,Real Betis,Celta Vigo,Real Sociedad,Getafe,Osasuna,Espanyol,Valencia,Athletic Club,Girona,Rayo Vallecano,Sevilla,Elche,Alavés,Mallorca,Levante,Real Oviedo
8496.0,1503.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1498.0,8382.0,50.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,111.0,5022.0,4861.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,4.0,4916.0,5056.0,17.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,12.0,12.0,6546.0,2607.0,578.0,74.0,123.0,15.0,7.0,16.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,2339.0,4802.0,1635.0,445.0,488.0,92.0,60.0,83.0,10.0,45.0,1.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,773.0,1722.0,3473.0,1328.0,1470.0,336.0,193.0,324.0,107.0,266.0,3.0,4.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,236.0,594.0,1961.0,2034.0,2358.0,779.0,484.0,704.0,263.0,524.0,15.0,22.0,10.0,16.0,0.0,0.0
0.0,0.0,0.0,0.0,69.0,178.0,1030.0,2099.0,1873.0,1267.0,866.0,1026.0,511.0,896.0,49.0,61.0,35.0,39.0,1.0,0.0
0.0,0.0,0.0,0.0,18.0,58.0,643.0,1434.0,1381.0,1591.0,1149.0,1242.0,767.0,1274.0,104.0,164.0,69.0,101.0,5.0,0.0
0.0,0.0,0.0,0.0,0.0,21.0,332.0,1035.0,922.0,1613.0,1345.0,1353.0,1145.0,1379.0,205.0,303.0,131.0,193.0,23.0,0.0
0.0,0.0,0.0,0.0,2.0,7.0,166.0,729.0,637.0,1492.0,1400.0,1473.0,1366.0,1331.0,320.0,514.0,240.0,288.0,35.0,0.0
0.0,0.0,0.0,0.0,0.0,2.0,106.0,453.0,385.0,1162.0,1452.0,1374.0,1419.0,1276.0,588.0,768.0,429.0,500.0,86.0,0.0
0.0,0.0,0.0,0.0,0.0,2.0,53.0,229.0,205.0,811.0,1235.0,1090.0,1517.0,1146.0,908.0,1119.0,692.0,805.0,188.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,17.0,91.0,88.0,505.0,857.0,634.0,1220.0,802.0,1503.0,1617.0,1108.0,1197.0,358.0,3.0
0.0,0.0,0.0,0.0,0.0,0.0,6.0,31.0,45.0,216.0,537.0,412.0,837.0,524.0,1878.0,1669.0,1587.0,1566.0,684.0,8.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,19.0,91.0,277.0,192.0,547.0,330.0,1939.0,1667.0,1880.0,1834.0,1182.0,25.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,27.0,113.0,68.0,236.0,157.0,1562.0,1375.0,2188.0,1991.0,2181.0,96.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,25.0,9.0,52.0,42.0,885.0,686.0,1524.0,1375.0,4892.0,506.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,40.0,31.0,106.0,95.0,365.0,9362.0
