Arsenal,Manchester City,Manchester United,Aston Villa,Liverpool,Chelsea,Brentford,Everton,Fulham,Brighton & Hove Albion,Newcastle United,AFC Bournemouth,Sunderland,Crystal Palace,Leeds United,Tottenham Hotspur,Nottingham Forest,West Ham United,Burnley,Wolverhampton Wanderers
9740.0,260.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
260.0,9512.0,205.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,217.0,7599.0,1298.0,421.0,424.0,25.0,12.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,11.0,1586.0,4187.0,1940.0,1664.0,209.0,215.0,42.0,94.0,48.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,437.0,2324.0,2513.0,2614.0,686.0,664.0,136.0,367.0,220.0,17.0,19.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,123.0,1207.0,2195.0,2210.0,1332.0,1209.0,359.0,736.0,478.0,87.0,55.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,40.0,525.0,1329.0,1315.0,1881.0,1752.0,693.0,1164.0,933.0,196.0,123.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,7.0,259.0,763.0,900.0,1720.0,1752.0,1043.0,1491.0,1320.0,431.0,233.0,80.0,1.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,3.0,127.0,453.0,459.0,1515.0,1615.0,1423.0,1686.0,1482.0,645.0,417.0,173.0,2.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,38.0,239.0,253.0,1127.0,1298.0,1741.0,1615.0,1642.0,1080.0,656.0,298.0,11.0,2.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,6.0,104.0,111.0,856.0,823.0,1940.0,1320.0,1483.0,1645.0,1129.0,550.0,24.0,8.0,0.0,1.0,0.0,0.0
0.0,0.0,0.0,6.0,37.0,41.0,408.0,429.0,1454.0,882.0,1195.0,2408.0,1818.0,1176.0,90.0,44.0,8.0,4.0,0.0,0.0
0.0,0.0,0.0,0.0,6.0,9.0,193.0,178.0,869.0,457.0,824.0,2023.0,2739.0,2174.0,331.0,138.0,40.0,19.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,45.0,49.0,270.0,158.0,331.0,1197.0,2181.0,3853.0,1090.0,528.0,141.0,157.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,29.0,25.0,39.0,231.0,519.0,1273.0,3890.0,2466.0,820.0,701.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,35.0,100.0,305.0,2808.0,3052.0,2157.0,1537.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,9.0,49.0,1293.0,2307.0,3237.0,3090.0,9.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,459.0,1447.0,3546.0,4461.0,60.0,19.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,51.0,30.0,7122.0,2788.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2809.0,7191.0
