Barcelona,Real Madrid,Villarreal,Atlético Madrid,Real Betis,Celta Vigo,Real Sociedad,Getafe,Athletic Club,Osasuna,Espanyol,Valencia,Girona,Rayo Vallecano,Sevilla,Alavés,Elche,Mallorca,Levante,Real Oviedo
8513.0,1487.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1486.0,8484.0,25.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,28.0,6289.0,3682.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,3685.0,6300.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,13.0,7034.0,1521.0,882.0,211.0,57.0,212.0,39.0,19.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1833.0,3744.0,2164.0,731.0,371.0,725.0,208.0,123.0,44.0,49.0,3.0,5.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,726.0,2366.0,2426.0,1314.0,762.0,1335.0,454.0,253.0,120.0,211.0,5.0,13.0,12.0,2.0,1.0,0.0
0.0,0.0,0.0,0.0,243.0,1194.0,1717.0,1852.0,1112.0,1779.0,856.0,485.0,298.0,370.0,16.0,51.0,15.0,11.0,1.0,0.0
0.0,0.0,0.0,0.0,95.0,633.0,1118.0,1756.0,1441.0,1705.0,1160.0,742.0,490.0,638.0,42.0,113.0,48.0,19.0,0.0,0.0
0.0,0.0,0.0,0.0,39.0,302.0,710.0,1421.0,1486.0,1390.0,1392.0,990.0,742.0,1042.0,110.0,219.0,101.0,54.0,2.0,0.0
0.0,0.0,0.0,0.0,11.0,136.0,398.0,1084.0,1393.0,1112.0,1451.0,1308.0,1027.0,1186.0,184.0,360.0,231.0,112.0,7.0,0.0
0.0,0.0,0.0,0.0,5.0,69.0,256.0,746.0,1275.0,759.0,1403.0,1440.0,1281.0,1292.0,259.0,607.0,390.0,199.0,19.0,0.0
0.0,0.0,0.0,0.0,2.0,23.0,176.0,458.0,953.0,456.0,1176.0,1434.0,1490.0,1308.0,510.0,959.0,643.0,347.0,65.0,0.0
0.0,0.0,0.0,0.0,0.0,9.0,87.0,238.0,609.0,294.0,850.0,1240.0,1488.0,1290.0,859.0,1354.0,969.0,601.0,112.0,0.0
0.0,0.0,0.0,0.0,0.0,1.0,46.0,120.0,336.0,126.0,555.0,942.0,1281.0,1066.0,1347.0,1743.0,1240.0,888.0,305.0,4.0
0.0,0.0,0.0,0.0,0.0,0.0,17.0,49.0,146.0,77.0,290.0,571.0,855.0,753.0,1902.0,1720.0,1657.0,1343.0,608.0,12.0
0.0,0.0,0.0,0.0,0.0,0.0,2.0,14.0,48.0,28.0,120.0,316.0,548.0,478.0,2048.0,1435.0,1874.0,2034.0,1014.0,41.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,10.0,2.0,34.0,114.0,270.0,254.0,1733.0,1032.0,1848.0,2595.0,1984.0,118.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,12.0,23.0,60.0,56.0,945.0,380.0,904.0,1643.0,5301.0,674.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,37.0,9.0,68.0,152.0,581.0,9151.0
