Internazionale,AC Milan,Napoli,Como,Juventus,AS Roma,Atalanta,Lazio,Bologna,Sassuolo,Udinese,Parma,Genoa,Torino,Cagliari,Fiorentina,Cremonese,Lecce,Hellas Verona,Pisa
9736.0,182.0,75.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
241.0,5866.0,2705.0,1070.0,97.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22.0,2576.0,3748.0,2882.0,568.0,201.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1051.0,2414.0,3971.0,1732.0,782.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,278.0,835.0,1549.0,4488.0,2550.0,299.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,43.0,217.0,495.0,2669.0,5355.0,1215.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,4.0,6.0,26.0,445.0,1078.0,7999.0,314.0,87.0,17.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0,12.0,394.0,5939.0,1950.0,897.0,786.0,2.0,9.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1.0,39.0,2304.0,3859.0,2097.0,1581.0,12.0,45.0,52.0,4.0,6.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1015.0,2559.0,3110.0,2734.0,59.0,279.0,191.0,20.0,29.0,1.0,2.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,388.0,1315.0,2854.0,3511.0,248.0,828.0,584.0,101.0,152.0,4.0,14.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,191.0,712.0,937.0,1300.0,3110.0,2048.0,483.0,1047.0,60.0,87.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,36.0,218.0,317.0,1974.0,2352.0,2270.0,1004.0,1477.0,135.0,208.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,70.0,84.0,2323.0,1566.0,1900.0,1487.0,1812.0,342.0,414.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,21.0,2069.0,999.0,1501.0,1971.0,2096.0,631.0,688.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,5.0,1472.0,542.0,995.0,2440.0,1796.0,1361.0,1378.0,0.0,8.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,468.0,226.0,373.0,1638.0,1064.0,3216.0,2969.0,2.0,44.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,44.0,76.0,849.0,516.0,4086.0,4086.0,24.0,246.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,164.0,153.0,3278.0,6397.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6696.0,3303.0
