Paris Saint-Germain,Lens,Marseille,Lyon,Lille,AS Monaco,Stade Rennais,Strasbourg,Toulouse,Lorient,Brest,Angers,Paris FC,Le Havre AC,Nice,AJ Auxerre,Nantes,Metz
9350.0,650.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
650.0,9257.0,67.0,8.0,15.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,85.0,6488.0,844.0,1460.0,938.0,169.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,8.0,2043.0,2422.0,2954.0,1898.0,552.0,123.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,823.0,2769.0,2452.0,2363.0,1182.0,406.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,392.0,2171.0,1884.0,2493.0,2070.0,948.0,12.0,25.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,167.0,1334.0,989.0,1572.0,3623.0,2064.0,71.0,138.0,41.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,18.0,409.0,227.0,678.0,2154.0,4583.0,595.0,1003.0,319.0,6.0,8.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,2.0,38.0,15.0,52.0,220.0,1231.0,2904.0,3871.0,1482.0,57.0,120.0,8.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,5.0,4.0,3.0,30.0,438.0,3243.0,2905.0,2737.0,242.0,370.0,16.0,7.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,170.0,2471.0,1622.0,3870.0,717.0,1018.0,99.0,33.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,590.0,352.0,1154.0,2975.0,3903.0,636.0,334.0,37.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,104.0,74.0,345.0,3772.0,2970.0,1588.0,992.0,153.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,7.0,46.0,1719.0,1236.0,3559.0,2748.0,673.0,3.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,471.0,354.0,3135.0,4009.0,1976.0,49.0,5.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,20.0,948.0,1841.0,6500.0,576.0,74.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,36.0,641.0,7240.0,2072.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,2132.0,7848.0
