Coventry City,Middlesbrough,Ipswich Town,Millwall,Hull City,Southampton,Wrexham,Derby County,Watford,Norwich City,Birmingham City,Queens Park Rangers,Preston North End,Swansea City,Stoke City,Bristol City,Sheffield United,Charlton Athletic,Blackburn Rovers,West Bromwich Albion,Portsmouth,Leicester City,Oxford United,Sheffield Wednesday
9865.0,55.0,77.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
128.0,4191.0,4850.0,756.0,40.0,31.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,3952.0,3423.0,2064.0,236.0,281.0,30.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1474.0,1185.0,4626.0,1081.0,1336.0,238.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,271.0,360.0,1763.0,2866.0,3199.0,1140.0,372.0,18.0,6.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,46.0,93.0,647.0,3231.0,2747.0,2058.0,982.0,109.0,60.0,17.0,0.0,5.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,10.0,12.0,126.0,1657.0,1548.0,3564.0,2153.0,449.0,232.0,120.0,34.0,11.0,17.0,38.0,7.0,15.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,0.0,14.0,704.0,625.0,1992.0,3715.0,1220.0,761.0,342.0,157.0,73.0,54.0,144.0,44.0,134.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,1.0,149.0,174.0,651.0,1433.0,2571.0,1779.0,1022.0,473.0,292.0,257.0,482.0,170.0,439.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,31.0,48.0,214.0,682.0,1959.0,1804.0,1541.0,673.0,496.0,445.0,819.0,340.0,712.0,236.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,5.0,7.0,82.0,317.0,1346.0,1463.0,1567.0,870.0,787.0,639.0,1059.0,506.0,990.0,360.0,0.0,2.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,3.0,23.0,152.0,904.0,1159.0,1386.0,1086.0,850.0,838.0,1295.0,736.0,1086.0,477.0,0.0,4.0,0.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,3.0,80.0,571.0,921.0,1130.0,1172.0,1032.0,1043.0,1303.0,873.0,1219.0,637.0,3.0,12.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1.0,1.0,32.0,394.0,665.0,980.0,1152.0,1241.0,1137.0,1313.0,1079.0,1218.0,754.0,4.0,25.0,2.0,2.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,222.0,507.0,762.0,1221.0,1277.0,1273.0,1188.0,1164.0,1229.0,1025.0,21.0,82.0,11.0,5.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,143.0,340.0,558.0,1168.0,1361.0,1361.0,981.0,1436.0,1104.0,1309.0,40.0,139.0,31.0,26.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,209.0,345.0,1099.0,1257.0,1416.0,778.0,1556.0,920.0,1716.0,116.0,355.0,68.0,81.0,15.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,83.0,191.0,747.0,984.0,1187.0,477.0,1539.0,717.0,2225.0,379.0,862.0,219.0,321.0,45.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,27.0,136.0,284.0,285.0,101.0,435.0,170.0,802.0,1898.0,3101.0,787.0,1619.0,343.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,10.0,45.0,45.0,16.0,103.0,41.0,246.0,2457.0,2435.0,1507.0,2168.0,920.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,3.0,2.0,12.0,4.0,61.0,2343.0,1689.0,2143.0,2091.0,1645.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16.0,1856.0,971.0,2356.0,2069.0,2731.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,883.0,323.0,2875.0,1617.0,4300.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
