Bayern Munich,Borussia Dortmund,VfB Stuttgart,RB Leipzig,TSG Hoffenheim,Bayer Leverkusen,Eintracht Frankfurt,SC Freiburg,1. FC Union Berlin,FC Augsburg,Mainz,Hamburg SV,Borussia Mönchengladbach,Werder Bremen,FC Cologne,St. Pauli,VfL Wolfsburg,1. FC Heidenheim 1846
10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,9847.0,99.0,29.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,135.0,5019.0,2756.0,1793.0,297.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,15.0,2769.0,3813.0,2588.0,815.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,3.0,1657.0,2516.0,3715.0,2107.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,455.0,885.0,1873.0,6696.0,64.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,1.0,6.0,82.0,5992.0,3395.0,199.0,117.0,120.0,52.0,30.0,2.0,3.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,3.0,2852.0,4884.0,805.0,432.0,538.0,268.0,175.0,14.0,26.0,3.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,756.0,1178.0,2603.0,1363.0,1941.0,949.0,924.0,114.0,163.0,9.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,235.0,350.0,2092.0,1753.0,2094.0,1461.0,1244.0,318.0,415.0,38.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,78.0,120.0,1611.0,1763.0,1882.0,1669.0,1486.0,595.0,698.0,95.0,3.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,19.0,35.0,1159.0,1547.0,1397.0,1851.0,1671.0,1022.0,1089.0,202.0,8.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,770.0,1403.0,998.0,1582.0,1686.0,1475.0,1603.0,431.0,40.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,498.0,990.0,633.0,1258.0,1563.0,2018.0,2070.0,856.0,113.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,198.0,524.0,298.0,683.0,898.0,2910.0,2182.0,1864.0,441.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,105.0,92.0,217.0,293.0,1370.0,1516.0,4736.0,1587.0,24.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,7.0,10.0,30.0,162.0,233.0,1723.0,7439.0,388.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,43.0,369.0,9586.0
