Barcelona,Real Madrid,Villarreal,Atlético Madrid,Real Betis,Real Sociedad,Celta Vigo,Getafe,Espanyol,Athletic Club,Osasuna,Rayo Vallecano,Valencia,Girona,Alavés,Sevilla,Mallorca,Elche,Levante,Real Oviedo
9685.0,315.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
315.0,9622.0,60.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,61.0,7724.0,2215.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,2.0,2214.0,7767.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,2.0,14.0,5901.0,1671.0,1799.0,209.0,30.0,90.0,251.0,13.0,17.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,1.0,2333.0,2447.0,3298.0,587.0,137.0,304.0,672.0,87.0,99.0,30.0,0.0,2.0,3.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1063.0,2600.0,2365.0,1100.0,404.0,653.0,1231.0,234.0,216.0,104.0,17.0,8.0,3.0,2.0,0.0,0.0
0.0,0.0,0.0,0.0,461.0,1542.0,1272.0,1720.0,764.0,1054.0,1872.0,546.0,431.0,250.0,37.0,15.0,33.0,3.0,0.0,0.0
0.0,0.0,0.0,0.0,157.0,791.0,662.0,1880.0,1187.0,1383.0,1713.0,924.0,684.0,396.0,89.0,37.0,84.0,13.0,0.0,0.0
0.0,0.0,0.0,0.0,45.0,465.0,355.0,1430.0,1434.0,1516.0,1367.0,1244.0,971.0,671.0,172.0,88.0,196.0,46.0,0.0,0.0
0.0,0.0,0.0,0.0,17.0,247.0,145.0,1195.0,1583.0,1495.0,1050.0,1399.0,1161.0,865.0,296.0,145.0,319.0,80.0,3.0,0.0
0.0,0.0,0.0,0.0,4.0,123.0,63.0,796.0,1524.0,1258.0,755.0,1433.0,1378.0,1140.0,559.0,261.0,537.0,166.0,3.0,0.0
0.0,0.0,0.0,0.0,2.0,62.0,30.0,545.0,1245.0,1014.0,541.0,1323.0,1459.0,1359.0,813.0,456.0,779.0,352.0,20.0,0.0
0.0,0.0,0.0,0.0,0.0,34.0,7.0,302.0,864.0,705.0,306.0,1136.0,1439.0,1442.0,1256.0,707.0,1154.0,604.0,43.0,1.0
0.0,0.0,0.0,0.0,0.0,13.0,4.0,141.0,479.0,322.0,134.0,778.0,965.0,1411.0,1760.0,1260.0,1521.0,1118.0,93.0,1.0
0.0,0.0,0.0,0.0,0.0,5.0,0.0,71.0,227.0,141.0,70.0,507.0,639.0,1084.0,1783.0,1868.0,1718.0,1567.0,310.0,10.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,95.0,54.0,25.0,271.0,371.0,783.0,1554.0,2156.0,1836.0,2148.0,646.0,41.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,26.0,11.0,12.0,97.0,156.0,422.0,1332.0,2099.0,1421.0,2701.0,1593.0,126.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,8.0,14.0,41.0,316.0,845.0,374.0,1069.0,6530.0,801.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,53.0,22.0,131.0,759.0,9020.0
