Arsenal,Manchester City,Manchester United,Aston Villa,Liverpool,Chelsea,Brentford,Everton,Fulham,Brighton & Hove Albion,Sunderland,Newcastle United,AFC Bournemouth,Crystal Palace,Leeds United,Nottingham Forest,Tottenham Hotspur,West Ham United,Burnley,Wolverhampton Wanderers
9735.0,265.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
265.0,9547.0,139.0,48.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,172.0,6597.0,2445.0,430.0,326.0,12.0,11.0,2.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,14.0,2326.0,4734.0,1510.0,1132.0,116.0,114.0,14.0,31.0,7.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,2.0,668.0,1894.0,2866.0,2856.0,643.0,592.0,124.0,252.0,63.0,25.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,211.0,645.0,2426.0,2603.0,1439.0,1198.0,371.0,710.0,165.0,126.0,88.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,44.0,183.0,1351.0,1409.0,2123.0,1726.0,778.0,1284.0,414.0,412.0,214.0,61.0,1.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,11.0,37.0,749.0,781.0,1854.0,1806.0,1209.0,1711.0,592.0,751.0,397.0,102.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,4.0,10.0,350.0,459.0,1479.0,1661.0,1576.0,1671.0,950.0,1029.0,643.0,164.0,4.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,3.0,187.0,251.0,1054.0,1210.0,1770.0,1519.0,1198.0,1379.0,1085.0,334.0,9.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,84.0,116.0,638.0,851.0,1613.0,1177.0,1679.0,1748.0,1429.0,618.0,37.0,10.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,36.0,55.0,402.0,523.0,1295.0,902.0,1926.0,1871.0,1903.0,964.0,88.0,32.0,3.0,0.0,0.0,0.0
0.0,0.0,0.0,1.0,7.0,10.0,188.0,231.0,928.0,550.0,1873.0,1612.0,2346.0,1861.0,279.0,94.0,18.0,2.0,0.0,0.0
0.0,0.0,0.0,0.0,3.0,2.0,52.0,73.0,294.0,165.0,980.0,903.0,1470.0,4274.0,1138.0,432.0,169.0,45.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,25.0,26.0,132.0,124.0,373.0,1292.0,4373.0,2059.0,1263.0,329.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,18.0,18.0,35.0,271.0,2446.0,3876.0,2375.0,960.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,39.0,1226.0,2590.0,3686.0,2451.0,3.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,399.0,902.0,2470.0,6157.0,48.0,23.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,16.0,54.0,6954.0,2972.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2995.0,7003.0
