Internazionale,AC Milan,Napoli,Como,Juventus,AS Roma,Atalanta,Lazio,Bologna,Sassuolo,Udinese,Parma,Genoa,Torino,Fiorentina,Cagliari,Cremonese,Lecce,Pisa,Hellas Verona
9740.0,196.0,58.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
248.0,5774.0,2719.0,1150.0,89.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.0,2574.0,3777.0,2913.0,525.0,198.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1104.0,2373.0,3897.0,1799.0,790.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,294.0,866.0,1516.0,4548.0,2482.0,294.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,57.0,203.0,491.0,2592.0,5404.0,1250.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,4.0,27.0,444.0,1098.0,8052.0,208.0,113.0,42.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,3.0,8.0,316.0,5114.0,2043.0,1651.0,837.0,0.0,12.0,14.0,2.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,42.0,2641.0,3171.0,2734.0,1306.0,4.0,50.0,44.0,8.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,8.0,1348.0,2697.0,3115.0,2393.0,37.0,187.0,168.0,45.0,2.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,641.0,1704.0,2004.0,3972.0,203.0,712.0,492.0,236.0,24.0,4.0,8.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,239.0,344.0,1054.0,1218.0,3064.0,2049.0,1617.0,249.0,46.0,73.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,26.0,90.0,317.0,1950.0,2419.0,2306.0,2008.0,570.0,135.0,178.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,18.0,83.0,2608.0,1635.0,1900.0,2070.0,1008.0,327.0,346.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,24.0,2274.0,1113.0,1530.0,2041.0,1668.0,647.0,701.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1305.0,539.0,1043.0,1248.0,2994.0,1521.0,1340.0,7.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,341.0,227.0,364.0,556.0,2195.0,3184.0,3089.0,43.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,42.0,90.0,168.0,1279.0,4006.0,4127.0,220.0,8.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,130.0,138.0,7963.0,1757.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1766.0,8234.0
