Bayern Munich,Borussia Dortmund,RB Leipzig,VfB Stuttgart,TSG Hoffenheim,Bayer Leverkusen,Eintracht Frankfurt,SC Freiburg,Mainz,1. FC Union Berlin,FC Augsburg,Hamburg SV,Borussia Mönchengladbach,Werder Bremen,FC Cologne,St. Pauli,VfL Wolfsburg,1. FC Heidenheim 1846
9999.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,9984.0,8.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,14.0,6117.0,2647.0,714.0,508.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,2728.0,4097.0,1790.0,1385.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,869.0,2075.0,3787.0,3268.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,277.0,1176.0,3704.0,4821.0,18.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,1.0,2.0,17.0,6295.0,2791.0,557.0,142.0,134.0,49.0,11.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1.0,2545.0,4511.0,1592.0,622.0,459.0,164.0,95.0,4.0,7.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,790.0,1752.0,3344.0,1674.0,1227.0,574.0,498.0,40.0,98.0,3.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,249.0,663.0,2264.0,2240.0,1907.0,1169.0,962.0,175.0,348.0,23.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,89.0,209.0,1186.0,2027.0,2026.0,1910.0,1358.0,451.0,656.0,88.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,11.0,56.0,651.0,1446.0,1761.0,2193.0,1681.0,806.0,1208.0,183.0,4.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,3.0,14.0,277.0,994.0,1310.0,1818.0,1939.0,1353.0,1791.0,475.0,26.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.0,621.0,806.0,1286.0,1930.0,2082.0,2180.0,906.0,86.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,202.0,316.0,673.0,1135.0,3169.0,2093.0,2085.0,298.0,4.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,32.0,53.0,158.0,368.0,1791.0,1484.0,4837.0,1255.0,21.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,23.0,129.0,134.0,1369.0,7728.0,610.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,31.0,603.0,9365.0
