Coventry City,Millwall,Middlesbrough,Ipswich Town,Hull City,Wrexham,Southampton,Derby County,Watford,Queens Park Rangers,Norwich City,Stoke City,Bristol City,Birmingham City,Preston North End,Swansea City,Sheffield United,Charlton Athletic,Blackburn Rovers,West Bromwich Albion,Portsmouth,Leicester City,Oxford United,Sheffield Wednesday
9970.0,3.0,1.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29.0,1989.0,2339.0,5585.0,14.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,3541.0,3548.0,2499.0,157.0,21.0,232.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,3494.0,3392.0,1498.0,629.0,121.0,860.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,790.0,582.0,320.0,3110.0,1106.0,3845.0,242.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,169.0,122.0,67.0,3684.0,2261.0,2876.0,741.0,21.0,13.0,28.0,8.0,3.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,14.0,14.0,5.0,1749.0,4161.0,1450.0,2058.0,170.0,105.0,149.0,54.0,24.0,21.0,8.0,9.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,2.0,0.0,586.0,1796.0,566.0,4329.0,737.0,480.0,669.0,320.0,149.0,107.0,104.0,65.0,87.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,60.0,394.0,101.0,1386.0,2001.0,1178.0,1760.0,900.0,675.0,529.0,350.0,247.0,363.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,10.0,110.0,21.0,617.0,1861.0,1296.0,1674.0,1184.0,846.0,796.0,543.0,392.0,581.0,68.0,1.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0,24.0,5.0,299.0,1490.0,1322.0,1412.0,1243.0,990.0,971.0,740.0,548.0,762.0,190.0,2.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,6.0,0.0,170.0,1105.0,1208.0,1214.0,1320.0,1161.0,1085.0,874.0,730.0,907.0,208.0,8.0,3.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,844.0,1202.0,905.0,1242.0,1131.0,1231.0,1065.0,878.0,1056.0,344.0,16.0,2.0,3.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,716.0,998.0,759.0,1187.0,1189.0,1180.0,1112.0,1078.0,1181.0,503.0,28.0,13.0,3.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,446.0,838.0,604.0,957.0,1197.0,1212.0,1363.0,1281.0,1246.0,750.0,61.0,20.0,12.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,341.0,665.0,417.0,782.0,1117.0,1157.0,1358.0,1510.0,1370.0,1082.0,103.0,74.0,14.0,5.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,194.0,505.0,303.0,512.0,928.0,1011.0,1339.0,1738.0,1333.0,1547.0,279.0,211.0,53.0,39.0,7.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,180.0,90.0,242.0,505.0,572.0,889.0,1229.0,786.0,3318.0,973.0,692.0,199.0,230.0,29.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,9.0,12.0,47.0,78.0,118.0,224.0,260.0,277.0,1340.0,3366.0,2385.0,697.0,1003.0,177.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,7.0,7.0,27.0,34.0,37.0,450.0,2505.0,3016.0,1452.0,1812.0,650.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,112.0,1675.0,2164.0,2263.0,2254.0,1525.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,813.0,1100.0,2472.0,2722.0,2866.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,170.0,319.0,2831.0,1934.0,4745.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
