Coventry City,Ipswich Town,Middlesbrough,Millwall,Hull City,Wrexham,Southampton,Derby County,Norwich City,Watford,Bristol City,Queens Park Rangers,Stoke City,Preston North End,Swansea City,Birmingham City,Sheffield United,Charlton Athletic,Blackburn Rovers,West Bromwich Albion,Portsmouth,Leicester City,Oxford United,Sheffield Wednesday
9946.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54.0,7483.0,1691.0,713.0,12.0,1.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1612.0,4687.0,3062.0,231.0,31.0,376.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,680.0,2919.0,4376.0,728.0,187.0,1083.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,139.0,549.0,1430.0,3043.0,1132.0,3258.0,443.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,29.0,135.0,364.0,3499.0,2025.0,2722.0,1157.0,61.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,3.0,19.0,50.0,1759.0,3687.0,1549.0,2548.0,256.0,35.0,46.0,43.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,5.0,662.0,2346.0,813.0,4347.0,1035.0,220.0,234.0,219.0,51.0,12.0,17.0,29.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,66.0,464.0,130.0,1076.0,3602.0,1360.0,1321.0,994.0,324.0,170.0,177.0,249.0,50.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,104.0,18.0,291.0,2068.0,2087.0,1711.0,1385.0,782.0,401.0,379.0,512.0,193.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,21.0,2.0,78.0,1285.0,1860.0,1677.0,1531.0,1040.0,684.0,543.0,744.0,380.0,155.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,2.0,2.0,27.0,740.0,1457.0,1409.0,1525.0,1274.0,920.0,739.0,1038.0,593.0,270.0,4.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,462.0,1145.0,1190.0,1302.0,1452.0,1110.0,956.0,1140.0,839.0,395.0,2.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,254.0,774.0,918.0,1127.0,1315.0,1297.0,1207.0,1344.0,1087.0,653.0,14.0,10.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,530.0,739.0,847.0,1332.0,1323.0,1436.0,1436.0,1298.0,847.0,37.0,19.0,6.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,325.0,492.0,585.0,1189.0,1368.0,1663.0,1343.0,1633.0,1169.0,113.0,46.0,12.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,168.0,219.0,346.0,769.0,1438.0,1645.0,1253.0,1911.0,1804.0,240.0,155.0,27.0,9.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,37.0,41.0,90.0,401.0,1075.0,1108.0,764.0,1473.0,3397.0,837.0,562.0,115.0,86.0,10.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,62.0,186.0,121.0,132.0,432.0,924.0,3876.0,2672.0,568.0,801.0,223.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,14.0,8.0,16.0,93.0,237.0,2758.0,3568.0,1250.0,1366.0,683.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,49.0,1470.0,1934.0,2326.0,2287.0,1923.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,525.0,804.0,2640.0,2642.0,3379.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,124.0,229.0,3056.0,2809.0,3781.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
