Palmeiras,São Paulo,Fluminense,Flamengo,Bahia,Athletico Paranaense,Coritiba,Atlético-MG,Red Bull Bragantino,Botafogo,Grêmio,Vasco da Gama,Internacional,Vitória,Santos,Corinthians,Chapecoense,Remo,Cruzeiro,Mirassol
6777.0,1511.0,565.0,912.0,156.0,30.0,7.0,35.0,5.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1918.0,3229.0,1642.0,2137.0,635.0,150.0,45.0,173.0,27.0,16.0,18.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
782.0,2304.0,2098.0,2448.0,1125.0,333.0,113.0,514.0,105.0,47.0,48.0,23.0,50.0,1.0,4.0,5.0,0.0,0.0,0.0,0.0
331.0,1359.0,2251.0,1829.0,1625.0,733.0,311.0,852.0,236.0,122.0,120.0,80.0,127.0,4.0,13.0,5.0,0.0,0.0,2.0,0.0
122.0,808.0,1472.0,1202.0,1886.0,1098.0,558.0,1297.0,489.0,278.0,254.0,165.0,300.0,15.0,29.0,20.0,2.0,1.0,0.0,4.0
43.0,386.0,863.0,639.0,1527.0,1372.0,847.0,1596.0,813.0,514.0,450.0,300.0,462.0,41.0,78.0,55.0,1.0,5.0,5.0,3.0
13.0,206.0,454.0,381.0,1032.0,1422.0,1203.0,1411.0,1010.0,699.0,636.0,514.0,678.0,71.0,139.0,98.0,1.0,13.0,8.0,11.0
6.0,105.0,267.0,192.0,719.0,1230.0,1230.0,1251.0,1192.0,841.0,789.0,696.0,877.0,149.0,238.0,147.0,9.0,16.0,26.0,20.0
6.0,49.0,177.0,122.0,471.0,981.0,1208.0,903.0,1238.0,1027.0,994.0,847.0,1046.0,204.0,349.0,230.0,17.0,52.0,31.0,48.0
1.0,23.0,99.0,68.0,365.0,774.0,1138.0,638.0,1162.0,1052.0,1077.0,1000.0,1156.0,312.0,496.0,369.0,18.0,91.0,90.0,71.0
0.0,10.0,59.0,34.0,215.0,657.0,912.0,510.0,1031.0,1088.0,1134.0,1056.0,1170.0,483.0,654.0,540.0,50.0,142.0,131.0,124.0
1.0,7.0,26.0,19.0,117.0,466.0,769.0,343.0,817.0,1095.0,1064.0,1184.0,1093.0,612.0,848.0,793.0,80.0,246.0,207.0,213.0
0.0,1.0,21.0,8.0,56.0,294.0,613.0,213.0,637.0,979.0,981.0,1134.0,975.0,875.0,1102.0,967.0,141.0,323.0,311.0,369.0
0.0,1.0,4.0,8.0,43.0,228.0,425.0,119.0,498.0,777.0,822.0,981.0,760.0,1056.0,1358.0,1176.0,242.0,536.0,462.0,504.0
0.0,1.0,1.0,1.0,18.0,96.0,305.0,75.0,350.0,586.0,628.0,745.0,542.0,1287.0,1311.0,1334.0,452.0,760.0,715.0,793.0
0.0,0.0,1.0,0.0,4.0,76.0,150.0,35.0,194.0,384.0,468.0,558.0,350.0,1313.0,1118.0,1323.0,701.0,1140.0,1103.0,1082.0
0.0,0.0,0.0,0.0,6.0,35.0,102.0,24.0,111.0,238.0,248.0,357.0,225.0,1261.0,964.0,1101.0,1061.0,1410.0,1402.0,1455.0
0.0,0.0,0.0,0.0,0.0,16.0,40.0,8.0,54.0,159.0,148.0,198.0,117.0,1083.0,701.0,903.0,1481.0,1643.0,1720.0,1729.0
0.0,0.0,0.0,0.0,0.0,8.0,16.0,3.0,24.0,64.0,87.0,115.0,51.0,800.0,399.0,599.0,2204.0,1867.0,1836.0,1927.0
0.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,7.0,33.0,34.0,43.0,15.0,433.0,198.0,335.0,3540.0,1755.0,1951.0,1647.0
