Internazionale,Napoli,AC Milan,Como,Juventus,AS Roma,Atalanta,Bologna,Lazio,Sassuolo,Udinese,Torino,Parma,Genoa,Fiorentina,Cagliari,Cremonese,Lecce,Hellas Verona,Pisa
9926.0,61.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70.0,5636.0,3349.0,660.0,282.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,2990.0,3745.0,2108.0,1096.0,46.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,978.0,1841.0,4152.0,2524.0,403.0,102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,306.0,904.0,2397.0,4422.0,1469.0,502.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,28.0,139.0,609.0,1408.0,5154.0,2658.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,9.0,74.0,268.0,2903.0,6594.0,77.0,62.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,20.0,125.0,3676.0,4003.0,1572.0,587.0,13.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,2.0,6.0,3208.0,3161.0,2456.0,1081.0,64.0,8.0,6.0,7.0,0.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,2.0,2106.0,1860.0,3507.0,2165.0,225.0,37.0,52.0,42.0,4.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,866.0,838.0,2012.0,4716.0,842.0,232.0,283.0,186.0,25.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,70.0,360.0,1056.0,3200.0,1330.0,2095.0,1549.0,242.0,12.0,24.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,61.0,311.0,2480.0,2082.0,2425.0,2043.0,471.0,49.0,71.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,60.0,1720.0,2643.0,2168.0,2144.0,924.0,127.0,195.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,22.0,995.0,2274.0,1794.0,2308.0,1715.0,401.0,490.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,407.0,1198.0,887.0,1206.0,3712.0,1354.0,1233.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,181.0,248.0,417.0,2073.0,3631.0,3358.0,2.0,39.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,13.0,42.0,96.0,832.0,4327.0,4528.0,16.0,143.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,98.0,100.0,3743.0,6057.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6239.0,3760.0
