Barcelona,Real Madrid,Villarreal,Atlético Madrid,Real Betis,Celta Vigo,Real Sociedad,Getafe,Osasuna,Espanyol,Athletic Club,Girona,Rayo Vallecano,Valencia,Alavés,Mallorca,Sevilla,Elche,Levante,Real Oviedo
9804.0,196.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
196.0,9766.0,27.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,37.0,6108.0,3855.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,3858.0,6112.0,8.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,7.0,22.0,4814.0,3436.0,1136.0,444.0,84.0,21.0,9.0,19.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,2870.0,3753.0,1735.0,1023.0,345.0,96.0,53.0,66.0,41.0,17.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1412.0,1799.0,2897.0,2023.0,859.0,319.0,189.0,256.0,179.0,55.0,6.0,6.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,608.0,651.0,1998.0,2533.0,1658.0,761.0,560.0,587.0,405.0,198.0,20.0,18.0,2.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,202.0,212.0,1007.0,1746.0,2047.0,1340.0,1051.0,1043.0,826.0,376.0,63.0,61.0,13.0,13.0,0.0,0.0
0.0,0.0,0.0,0.0,60.0,91.0,525.0,1048.0,1649.0,1568.0,1413.0,1412.0,1242.0,671.0,136.0,119.0,32.0,32.0,2.0,0.0
0.0,0.0,0.0,0.0,21.0,24.0,347.0,655.0,1259.0,1628.0,1541.0,1635.0,1309.0,931.0,267.0,244.0,75.0,63.0,1.0,0.0
0.0,0.0,0.0,0.0,3.0,11.0,207.0,283.0,928.0,1467.0,1686.0,1594.0,1473.0,1186.0,463.0,417.0,128.0,151.0,3.0,0.0
0.0,0.0,0.0,0.0,2.0,1.0,79.0,159.0,597.0,1279.0,1451.0,1338.0,1489.0,1559.0,808.0,655.0,265.0,307.0,11.0,0.0
0.0,0.0,0.0,0.0,0.0,1.0,46.0,59.0,324.0,860.0,1048.0,1024.0,1270.0,1803.0,1306.0,1123.0,528.0,578.0,29.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,19.0,20.0,161.0,400.0,618.0,604.0,905.0,1390.0,1914.0,1715.0,1070.0,1071.0,108.0,5.0
0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,68.0,195.0,278.0,293.0,528.0,969.0,1928.0,2059.0,1807.0,1609.0,226.0,30.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,18.0,53.0,78.0,104.0,258.0,583.0,1687.0,1896.0,2515.0,2132.0,585.0,90.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,13.0,25.0,25.0,67.0,226.0,1172.0,1302.0,2569.0,2691.0,1530.0,377.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,31.0,215.0,324.0,900.0,1102.0,5585.0,1839.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15.0,60.0,96.0,250.0,1920.0,7658.0
