Paris Saint-Germain,Lens,Marseille,Lille,Stade Rennais,AS Monaco,Lyon,Strasbourg,Lorient,Toulouse,Brest,Paris FC,Angers,Le Havre AC,Nice,AJ Auxerre,Nantes,Metz
9729.0,271.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
271.0,9568.0,99.0,57.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,142.0,6042.0,2581.0,508.0,223.0,489.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,16.0,2383.0,3681.0,1324.0,784.0,1660.0,152.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,3.0,963.0,1891.0,2577.0,1589.0,2480.0,497.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,358.0,1077.0,2626.0,2399.0,2490.0,1049.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,134.0,569.0,2084.0,3159.0,2148.0,1864.0,23.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,21.0,142.0,874.0,1826.0,714.0,5623.0,377.0,353.0,62.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,2.0,5.0,18.0,17.0,629.0,4121.0,3620.0,1176.0,383.0,21.0,7.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,145.0,3265.0,3077.0,2269.0,1110.0,113.0,15.0,5.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,1675.0,2022.0,3510.0,2265.0,411.0,80.0,13.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,459.0,764.0,2228.0,4651.0,1433.0,364.0,98.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,137.0,677.0,1379.0,4791.0,2174.0,724.0,43.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,7.0,75.0,191.0,2653.0,3966.0,2751.0,351.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,13.0,556.0,2916.0,4505.0,1980.0,27.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,475.0,1857.0,7238.0,393.0,15.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,46.0,385.0,8623.0,943.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,956.0,9042.0
