Bayern Munich,Borussia Dortmund,VfB Stuttgart,RB Leipzig,Bayer Leverkusen,TSG Hoffenheim,Eintracht Frankfurt,SC Freiburg,Mainz,FC Augsburg,1. FC Union Berlin,Hamburg SV,FC Cologne,Borussia Mönchengladbach,Werder Bremen,St. Pauli,VfL Wolfsburg,1. FC Heidenheim 1846
10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,9932.0,18.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,65.0,3290.0,5562.0,835.0,248.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,3.0,3846.0,3228.0,1946.0,977.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1876.0,930.0,4444.0,2749.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,970.0,230.0,2770.0,6014.0,9.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,5.0,12.0,6207.0,3723.0,26.0,17.0,7.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,3591.0,5876.0,263.0,173.0,67.0,13.0,4.0,12.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,178.0,346.0,4279.0,2308.0,1448.0,385.0,515.0,514.0,26.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,13.0,46.0,2460.0,2649.0,1798.0,828.0,1120.0,947.0,124.0,15.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1439.0,1811.0,1998.0,1518.0,1707.0,1163.0,309.0,52.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,796.0,1330.0,1710.0,1962.0,1931.0,1525.0,620.0,126.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,451.0,889.0,1452.0,2004.0,1963.0,1865.0,1033.0,341.0,2.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,227.0,589.0,1106.0,1841.0,1573.0,2273.0,1739.0,628.0,24.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,218.0,365.0,1170.0,891.0,1329.0,4180.0,1713.0,81.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,16.0,49.0,275.0,295.0,369.0,1907.0,6079.0,883.0,119.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,61.0,947.0,7015.0,1972.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,1995.0,7907.0
