Arsenal,Manchester City,Manchester United,Aston Villa,Liverpool,Chelsea,Brentford,Everton,Brighton & Hove Albion,Sunderland,AFC Bournemouth,Fulham,Crystal Palace,Newcastle United,Leeds United,Nottingham Forest,West Ham United,Tottenham Hotspur,Burnley,Wolverhampton Wanderers
8127.0,1873.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1873.0,8113.0,4.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,14.0,4938.0,3501.0,1366.0,132.0,14.0,9.0,20.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,3117.0,3731.0,2315.0,551.0,59.0,60.0,140.0,22.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1423.0,2025.0,3442.0,1703.0,317.0,318.0,560.0,118.0,62.0,22.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,376.0,552.0,1648.0,2757.0,995.0,1013.0,1599.0,443.0,334.0,187.0,41.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,100.0,133.0,685.0,1835.0,1567.0,1570.0,1948.0,781.0,705.0,391.0,123.0,162.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,23.0,38.0,313.0,1193.0,1791.0,1735.0,1693.0,1040.0,987.0,678.0,205.0,301.0,3.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,15.0,7.0,153.0,842.0,1674.0,1627.0,1394.0,1216.0,1320.0,924.0,303.0,513.0,12.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,3.0,2.0,45.0,490.0,1381.0,1455.0,1077.0,1559.0,1550.0,1134.0,506.0,767.0,31.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,1.0,29.0,280.0,1001.0,1036.0,771.0,1688.0,1588.0,1478.0,811.0,1240.0,75.0,0.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,3.0,154.0,712.0,710.0,475.0,1486.0,1493.0,1844.0,1337.0,1573.0,202.0,9.0,2.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0,52.0,331.0,346.0,224.0,1057.0,1094.0,1782.0,2359.0,2186.0,527.0,32.0,9.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,10.0,150.0,112.0,81.0,531.0,667.0,1307.0,3073.0,2372.0,1476.0,153.0,56.0,12.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1.0,8.0,9.0,18.0,54.0,180.0,247.0,1116.0,724.0,5853.0,1168.0,410.0,212.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,6.0,115.0,92.0,1373.0,5141.0,1761.0,1497.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,9.0,364.0,2490.0,4005.0,3126.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,1006.0,3756.0,5148.0,3.0,3.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,7481.0,2513.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2516.0,7484.0
