Bayern Munich,Borussia Dortmund,VfB Stuttgart,RB Leipzig,Bayer Leverkusen,TSG Hoffenheim,Eintracht Frankfurt,SC Freiburg,Mainz,FC Augsburg,1. FC Union Berlin,Hamburg SV,FC Cologne,Borussia Mönchengladbach,Werder Bremen,St. Pauli,VfL Wolfsburg,1. FC Heidenheim 1846
10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,9926.0,11.0,62.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,71.0,3201.0,5647.0,832.0,249.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,3.0,3917.0,3165.0,1900.0,1015.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1877.0,906.0,4429.0,2788.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,994.0,220.0,2835.0,5936.0,13.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,3.0,12.0,6230.0,3680.0,39.0,29.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,3551.0,5884.0,286.0,175.0,68.0,20.0,5.0,11.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,196.0,379.0,4277.0,2204.0,1468.0,366.0,555.0,525.0,28.0,2.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,10.0,48.0,2515.0,2584.0,1755.0,837.0,1232.0,895.0,114.0,10.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1357.0,1871.0,1971.0,1462.0,1799.0,1196.0,305.0,32.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800.0,1371.0,1748.0,1932.0,1957.0,1530.0,546.0,115.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,443.0,956.0,1455.0,2004.0,1900.0,1921.0,1029.0,289.0,3.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,228.0,590.0,1122.0,1860.0,1490.0,2218.0,1856.0,620.0,15.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,203.0,367.0,1241.0,789.0,1316.0,4238.0,1681.0,112.0,4.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,17.0,41.0,275.0,267.0,383.0,1826.0,6086.0,961.0,138.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,5.0,58.0,1061.0,6939.0,1930.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,1969.0,7927.0
