Arsenal,Manchester City,Manchester United,Aston Villa,Liverpool,Chelsea,Brentford,Everton,Brighton & Hove Albion,Sunderland,AFC Bournemouth,Fulham,Crystal Palace,Newcastle United,Leeds United,Nottingham Forest,West Ham United,Tottenham Hotspur,Burnley,Wolverhampton Wanderers
9878.0,122.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122.0,9832.0,17.0,28.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,45.0,4773.0,3580.0,1408.0,150.0,16.0,8.0,14.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,3217.0,3620.0,2326.0,525.0,72.0,77.0,134.0,24.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1414.0,2075.0,3397.0,1669.0,323.0,376.0,535.0,105.0,73.0,25.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,411.0,524.0,1647.0,2798.0,995.0,1044.0,1592.0,425.0,316.0,163.0,28.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,112.0,137.0,671.0,1770.0,1630.0,1618.0,1982.0,711.0,731.0,394.0,93.0,151.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,48.0,28.0,305.0,1231.0,1802.0,1710.0,1765.0,1002.0,957.0,659.0,182.0,306.0,5.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,6.0,8.0,154.0,831.0,1690.0,1552.0,1422.0,1306.0,1295.0,884.0,347.0,494.0,11.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,2.0,0.0,64.0,523.0,1369.0,1388.0,1042.0,1525.0,1632.0,1170.0,493.0,762.0,29.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,22.0,320.0,971.0,1014.0,732.0,1681.0,1638.0,1528.0,817.0,1208.0,68.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,5.0,128.0,666.0,761.0,484.0,1591.0,1447.0,1767.0,1319.0,1636.0,190.0,6.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,49.0,343.0,322.0,224.0,1103.0,1068.0,1837.0,2326.0,2151.0,552.0,21.0,4.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,6.0,111.0,119.0,63.0,466.0,643.0,1316.0,3079.0,2405.0,1543.0,191.0,47.0,11.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,12.0,11.0,10.0,57.0,180.0,253.0,1165.0,734.0,5780.0,1165.0,393.0,240.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,15.0,4.0,136.0,88.0,1351.0,5192.0,1798.0,1415.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,6.0,389.0,2460.0,4047.0,3088.0,1.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,963.0,3708.0,5240.0,5.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,7522.0,2469.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2472.0,7528.0
