Palmeiras,Flamengo,São Paulo,Fluminense,Bahia,Athletico Paranaense,Coritiba,Atlético-MG,Red Bull Bragantino,Vitória,Botafogo,Grêmio,Vasco da Gama,Internacional,Santos,Corinthians,Cruzeiro,Remo,Chapecoense,Mirassol
6702.0,2168.0,337.0,249.0,411.0,113.0,5.0,11.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2063.0,3846.0,1143.0,966.0,1360.0,459.0,34.0,66.0,11.0,5.0,9.0,15.0,6.0,15.0,2.0,0.0,0.0,0.0,0.0,0.0
733.0,1932.0,2127.0,1597.0,2058.0,902.0,154.0,216.0,53.0,35.0,61.0,32.0,28.0,50.0,20.0,2.0,0.0,0.0,0.0,0.0
308.0,1018.0,2006.0,1924.0,1973.0,1321.0,324.0,423.0,137.0,77.0,129.0,116.0,69.0,113.0,52.0,6.0,3.0,1.0,0.0,0.0
132.0,512.0,1548.0,1727.0,1597.0,1663.0,588.0,682.0,266.0,188.0,249.0,236.0,168.0,274.0,121.0,33.0,15.0,0.0,0.0,1.0
45.0,256.0,1104.0,1311.0,1085.0,1595.0,949.0,1018.0,488.0,325.0,393.0,438.0,278.0,411.0,226.0,41.0,33.0,4.0,0.0,0.0
12.0,139.0,690.0,844.0,619.0,1242.0,1182.0,1314.0,669.0,424.0,557.0,628.0,457.0,684.0,367.0,90.0,69.0,9.0,0.0,4.0
2.0,71.0,412.0,529.0,384.0,869.0,1207.0,1223.0,864.0,625.0,756.0,811.0,615.0,804.0,539.0,159.0,100.0,16.0,3.0,11.0
1.0,27.0,258.0,339.0,208.0,594.0,1106.0,1120.0,998.0,745.0,832.0,942.0,792.0,929.0,665.0,243.0,139.0,42.0,3.0,17.0
2.0,18.0,159.0,193.0,132.0,405.0,931.0,967.0,1057.0,877.0,916.0,977.0,863.0,1060.0,800.0,317.0,213.0,76.0,11.0,26.0
0.0,7.0,96.0,132.0,64.0,299.0,873.0,833.0,1056.0,933.0,994.0,1020.0,948.0,939.0,864.0,489.0,304.0,78.0,14.0,57.0
0.0,3.0,58.0,87.0,56.0,200.0,784.0,641.0,932.0,911.0,1003.0,1037.0,1036.0,937.0,1010.0,623.0,435.0,134.0,25.0,88.0
0.0,1.0,21.0,50.0,25.0,138.0,607.0,511.0,910.0,981.0,998.0,917.0,1021.0,932.0,1102.0,796.0,565.0,249.0,45.0,131.0
0.0,0.0,26.0,22.0,15.0,92.0,495.0,382.0,819.0,1053.0,852.0,818.0,1007.0,877.0,1106.0,973.0,776.0,344.0,99.0,244.0
0.0,1.0,9.0,10.0,10.0,56.0,321.0,271.0,631.0,948.0,830.0,704.0,972.0,714.0,1046.0,1271.0,1102.0,529.0,151.0,424.0
0.0,1.0,2.0,14.0,2.0,35.0,247.0,176.0,492.0,811.0,593.0,584.0,760.0,585.0,873.0,1498.0,1445.0,889.0,291.0,702.0
0.0,0.0,4.0,5.0,1.0,9.0,109.0,93.0,365.0,581.0,422.0,398.0,556.0,403.0,626.0,1496.0,1709.0,1461.0,563.0,1199.0
0.0,0.0,0.0,1.0,0.0,8.0,62.0,44.0,169.0,318.0,258.0,223.0,279.0,170.0,387.0,1111.0,1523.0,2127.0,1248.0,2072.0
0.0,0.0,0.0,0.0,0.0,0.0,19.0,9.0,62.0,139.0,118.0,84.0,115.0,84.0,148.0,624.0,1063.0,2463.0,2303.0,2769.0
0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,18.0,24.0,30.0,20.0,30.0,18.0,46.0,228.0,506.0,1578.0,5244.0,2255.0
