Palmeiras,Flamengo,São Paulo,Fluminense,Bahia,Athletico Paranaense,Coritiba,Atlético-MG,Red Bull Bragantino,Vitória,Botafogo,Grêmio,Vasco da Gama,Internacional,Santos,Corinthians,Cruzeiro,Remo,Chapecoense,Mirassol
6608.0,2197.0,362.0,231.0,464.0,115.0,11.0,6.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2149.0,3846.0,1187.0,950.0,1273.0,432.0,40.0,62.0,9.0,10.0,10.0,6.0,4.0,18.0,4.0,0.0,0.0,0.0,0.0,0.0
744.0,1874.0,2086.0,1716.0,2011.0,922.0,146.0,214.0,49.0,39.0,48.0,51.0,30.0,50.0,19.0,1.0,0.0,0.0,0.0,0.0
311.0,999.0,1927.0,1849.0,2035.0,1367.0,339.0,437.0,130.0,77.0,142.0,118.0,80.0,127.0,48.0,8.0,6.0,0.0,0.0,0.0
135.0,571.0,1626.0,1727.0,1600.0,1595.0,567.0,706.0,285.0,169.0,252.0,227.0,146.0,236.0,126.0,18.0,13.0,0.0,0.0,1.0
24.0,253.0,1102.0,1277.0,1058.0,1663.0,929.0,1034.0,472.0,326.0,414.0,426.0,284.0,457.0,201.0,53.0,22.0,3.0,1.0,1.0
19.0,146.0,695.0,860.0,633.0,1177.0,1195.0,1232.0,678.0,494.0,583.0,636.0,452.0,633.0,416.0,92.0,46.0,7.0,0.0,6.0
1.0,57.0,393.0,520.0,389.0,880.0,1132.0,1305.0,853.0,594.0,763.0,833.0,645.0,821.0,515.0,181.0,92.0,14.0,3.0,9.0
4.0,29.0,266.0,319.0,224.0,586.0,1156.0,1099.0,1042.0,704.0,862.0,903.0,760.0,954.0,661.0,231.0,139.0,44.0,2.0,15.0
5.0,16.0,162.0,227.0,124.0,451.0,1010.0,945.0,1039.0,832.0,945.0,993.0,845.0,1003.0,745.0,343.0,228.0,53.0,4.0,30.0
0.0,6.0,86.0,135.0,86.0,317.0,851.0,818.0,991.0,894.0,935.0,1045.0,925.0,1025.0,964.0,435.0,344.0,96.0,5.0,42.0
0.0,5.0,55.0,75.0,45.0,179.0,776.0,628.0,973.0,993.0,956.0,941.0,1059.0,1016.0,1011.0,606.0,460.0,127.0,18.0,77.0
0.0,1.0,27.0,59.0,32.0,149.0,630.0,509.0,873.0,1037.0,965.0,938.0,1061.0,972.0,1004.0,754.0,540.0,243.0,49.0,157.0
0.0,0.0,18.0,32.0,11.0,68.0,446.0,398.0,833.0,1027.0,885.0,844.0,1010.0,876.0,1091.0,1016.0,754.0,365.0,78.0,248.0
0.0,0.0,7.0,11.0,11.0,59.0,372.0,277.0,704.0,954.0,735.0,732.0,927.0,680.0,1076.0,1271.0,1061.0,543.0,147.0,433.0
0.0,0.0,1.0,6.0,4.0,29.0,209.0,191.0,516.0,826.0,681.0,587.0,838.0,509.0,848.0,1473.0,1423.0,850.0,280.0,729.0
0.0,0.0,0.0,5.0,0.0,9.0,129.0,88.0,319.0,532.0,462.0,419.0,488.0,350.0,699.0,1487.0,1727.0,1447.0,579.0,1260.0
0.0,0.0,0.0,0.0,0.0,2.0,42.0,38.0,168.0,307.0,238.0,209.0,293.0,183.0,359.0,1111.0,1548.0,2244.0,1165.0,2093.0
0.0,0.0,0.0,1.0,0.0,0.0,18.0,8.0,49.0,151.0,91.0,81.0,112.0,71.0,168.0,701.0,1103.0,2429.0,2409.0,2608.0
0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,16.0,32.0,32.0,11.0,41.0,17.0,45.0,219.0,494.0,1535.0,5260.0,2291.0
