Barcelona,Real Madrid,Villarreal,Atlético Madrid,Real Betis,Celta Vigo,Real Sociedad,Getafe,Osasuna,Espanyol,Girona,Athletic Club,Rayo Vallecano,Valencia,Mallorca,Sevilla,Alavés,Elche,Levante,Real Oviedo
9923.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77.0,9847.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,76.0,8998.0,926.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,926.0,9024.0,34.0,12.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,47.0,6105.0,2023.0,1419.0,271.0,62.0,16.0,43.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,3.0,2321.0,3903.0,2205.0,848.0,317.0,107.0,191.0,87.0,8.0,4.0,3.0,1.0,1.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,1068.0,2406.0,2986.0,1538.0,816.0,299.0,480.0,236.0,86.0,35.0,37.0,7.0,3.0,3.0,0.0,0.0
0.0,0.0,0.0,0.0,351.0,985.0,1662.0,2498.0,1677.0,773.0,885.0,645.0,204.0,107.0,147.0,24.0,25.0,16.0,1.0,0.0
0.0,0.0,0.0,0.0,91.0,399.0,828.0,1935.0,1803.0,1171.0,1426.0,1049.0,485.0,255.0,303.0,107.0,88.0,58.0,2.0,0.0
0.0,0.0,0.0,0.0,25.0,168.0,465.0,1256.0,1620.0,1390.0,1670.0,1259.0,726.0,402.0,489.0,172.0,202.0,155.0,1.0,0.0
0.0,0.0,0.0,0.0,4.0,71.0,229.0,770.0,1294.0,1441.0,1491.0,1485.0,940.0,605.0,725.0,278.0,387.0,277.0,2.0,1.0
0.0,0.0,0.0,0.0,0.0,21.0,117.0,458.0,978.0,1406.0,1197.0,1416.0,1147.0,879.0,945.0,420.0,565.0,434.0,15.0,2.0
0.0,0.0,0.0,0.0,1.0,11.0,53.0,223.0,681.0,1165.0,905.0,1276.0,1313.0,1027.0,1189.0,702.0,795.0,620.0,37.0,2.0
0.0,0.0,0.0,0.0,0.0,1.0,25.0,131.0,376.0,872.0,645.0,972.0,1303.0,1291.0,1349.0,933.0,1118.0,911.0,65.0,8.0
0.0,0.0,0.0,0.0,0.0,0.0,6.0,50.0,219.0,591.0,499.0,697.0,1177.0,1413.0,1377.0,1277.0,1328.0,1185.0,152.0,29.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,17.0,101.0,424.0,312.0,437.0,1058.0,1447.0,1203.0,1642.0,1514.0,1473.0,306.0,65.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,44.0,238.0,198.0,304.0,853.0,1296.0,1091.0,1874.0,1584.0,1707.0,595.0,211.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,94.0,54.0,113.0,556.0,992.0,814.0,1782.0,1692.0,1998.0,1399.0,498.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,12.0,4.0,11.0,132.0,229.0,270.0,706.0,599.0,901.0,5212.0,1920.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,11.0,18.0,58.0,75.0,99.0,261.0,2213.0,7264.0
