Internazionale,Napoli,AC Milan,Juventus,Como,AS Roma,Atalanta,Bologna,Lazio,Sassuolo,Udinese,Torino,Parma,Genoa,Fiorentina,Cagliari,Cremonese,Lecce,Hellas Verona,Pisa
10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,4393.0,3084.0,2373.0,138.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,3379.0,2804.0,3027.0,666.0,124.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1580.0,2780.0,2950.0,2027.0,653.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,523.0,1063.0,1282.0,4432.0,2518.0,182.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,121.0,255.0,348.0,2446.0,5779.0,1042.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,4.0,14.0,20.0,289.0,908.0,8385.0,258.0,107.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,2.0,5.0,336.0,4140.0,4033.0,1056.0,415.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1.0,45.0,3300.0,3505.0,2146.0,933.0,58.0,4.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1728.0,1655.0,4167.0,2130.0,222.0,31.0,38.0,29.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,543.0,660.0,2187.0,5147.0,867.0,170.0,271.0,151.0,4.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,36.0,348.0,1062.0,3084.0,1622.0,2308.0,1451.0,65.0,0.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,72.0,260.0,2465.0,2559.0,2454.0,1959.0,225.0,1.0,2.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,44.0,1904.0,3034.0,2196.0,2270.0,519.0,6.0,17.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1093.0,2172.0,2151.0,3138.0,1307.0,48.0,84.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,292.0,405.0,540.0,915.0,6747.0,525.0,574.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,37.0,82.0,1009.0,4839.0,3985.0,1.0,42.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,124.0,4485.0,5204.0,8.0,177.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,132.0,3222.0,6550.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6769.0,3230.0
