Arsenal,Manchester City,Manchester United,Aston Villa,Liverpool,Chelsea,Brentford,AFC Bournemouth,Brighton & Hove Albion,Everton,Sunderland,Fulham,Crystal Palace,Newcastle United,Leeds United,Nottingham Forest,West Ham United,Tottenham Hotspur,Burnley,Wolverhampton Wanderers
6451.0,3549.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3549.0,6449.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,2.0,5713.0,2640.0,1642.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,2997.0,4010.0,2920.0,46.0,9.0,10.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1236.0,3155.0,4800.0,374.0,97.0,113.0,155.0,42.0,16.0,9.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,49.0,182.0,496.0,3077.0,952.0,1525.0,2215.0,785.0,377.0,271.0,57.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,4.0,10.0,102.0,2112.0,1524.0,1767.0,1901.0,1193.0,629.0,566.0,150.0,40.0,2.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,1.0,35.0,1460.0,1646.0,1754.0,1684.0,1454.0,776.0,861.0,222.0,92.0,14.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,5.0,1059.0,1709.0,1482.0,1454.0,1568.0,1015.0,1147.0,354.0,176.0,31.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,829.0,1603.0,1311.0,1144.0,1556.0,1199.0,1399.0,545.0,352.0,60.0,2.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,573.0,1192.0,986.0,704.0,1392.0,1639.0,1832.0,865.0,649.0,163.0,5.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,339.0,765.0,620.0,450.0,1099.0,1971.0,1781.0,1413.0,1123.0,412.0,26.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,97.0,393.0,323.0,202.0,653.0,1439.0,1209.0,2458.0,2103.0,989.0,115.0,19.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,30.0,95.0,91.0,66.0,221.0,756.0,728.0,2321.0,3251.0,2010.0,361.0,68.0,2.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1.0,15.0,18.0,18.0,36.0,176.0,190.0,1354.0,1792.0,4845.0,1224.0,258.0,73.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,238.0,368.0,1237.0,6148.0,1248.0,747.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,41.0,213.0,1737.0,4368.0,3621.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,382.0,4038.0,5557.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7711.0,2289.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2289.0,7711.0
