Coventry City,Ipswich Town,Millwall,Southampton,Middlesbrough,Hull City,Wrexham,Derby County,Norwich City,Bristol City,Queens Park Rangers,Sheffield United,Watford,Birmingham City,Swansea City,Preston North End,Stoke City,Portsmouth,Charlton Athletic,West Bromwich Albion,Blackburn Rovers,Oxford United,Leicester City,Sheffield Wednesday
9979.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21.0,6216.0,1589.0,1948.0,226.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,2061.0,3357.0,2937.0,1644.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1189.0,2841.0,3048.0,2905.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,510.0,2194.0,2030.0,5080.0,162.0,21.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,3.0,19.0,36.0,139.0,5660.0,2179.0,1844.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,1.0,6.0,2719.0,3375.0,3450.0,449.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1323.0,3750.0,3755.0,1159.0,2.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,118.0,675.0,916.0,5920.0,274.0,351.0,595.0,51.0,694.0,322.0,61.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,1378.0,1230.0,1203.0,2323.0,331.0,2172.0,689.0,362.0,272.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,577.0,1400.0,1526.0,2104.0,494.0,1874.0,1033.0,510.0,433.0,27.0,21.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,260.0,1644.0,1618.0,1628.0,786.0,1470.0,1194.0,584.0,757.0,35.0,24.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.0,1581.0,1408.0,1182.0,1134.0,1260.0,1357.0,873.0,934.0,113.0,43.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,1208.0,1264.0,831.0,1513.0,952.0,1549.0,1295.0,1031.0,206.0,133.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1084.0,1126.0,584.0,1655.0,682.0,1407.0,1486.0,1386.0,340.0,229.0,17.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1030.0,918.0,414.0,1770.0,439.0,1200.0,1715.0,1590.0,451.0,338.0,135.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,474.0,517.0,270.0,1642.0,352.0,899.0,2343.0,1659.0,874.0,594.0,376.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,56.0,69.0,551.0,100.0,314.0,713.0,1372.0,2412.0,2811.0,1462.0,67.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,71.0,5.0,36.0,57.0,492.0,2696.0,2883.0,3250.0,481.0,27.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,51.0,2334.0,2215.0,3586.0,1583.0,193.0,35.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,486.0,669.0,1071.0,5919.0,1510.0,345.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,37.0,102.0,1788.0,6224.0,1829.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,162.0,2046.0,7791.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
