Palmeiras,Flamengo,Fluminense,São Paulo,Bahia,Athletico Paranaense,Coritiba,Red Bull Bragantino,Botafogo,Vasco da Gama,Vitória,Atlético-MG,Grêmio,Internacional,Santos,Cruzeiro,Corinthians,Mirassol,Remo,Chapecoense
6467.0,3056.0,309.0,45.0,63.0,24.0,20.0,3.0,11.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2678.0,4762.0,1325.0,346.0,429.0,150.0,141.0,48.0,88.0,18.0,3.0,7.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0
620.0,1345.0,3315.0,1376.0,1383.0,598.0,576.0,244.0,367.0,84.0,21.0,34.0,11.0,8.0,7.0,9.0,1.0,1.0,0.0,0.0
148.0,479.0,2043.0,1849.0,1700.0,1005.0,1103.0,501.0,682.0,202.0,56.0,109.0,28.0,33.0,18.0,26.0,17.0,1.0,0.0,0.0
58.0,208.0,1172.0,1699.0,1656.0,1324.0,1334.0,725.0,918.0,369.0,114.0,184.0,79.0,57.0,39.0,37.0,21.0,6.0,0.0,0.0
16.0,74.0,736.0,1268.0,1346.0,1341.0,1434.0,1019.0,1078.0,607.0,203.0,381.0,153.0,139.0,72.0,74.0,50.0,8.0,1.0,0.0
5.0,41.0,461.0,1064.0,1066.0,1259.0,1301.0,1075.0,1239.0,761.0,314.0,508.0,238.0,213.0,189.0,169.0,63.0,31.0,3.0,0.0
5.0,17.0,272.0,760.0,775.0,1115.0,1053.0,1267.0,1222.0,936.0,487.0,714.0,372.0,315.0,243.0,266.0,117.0,55.0,9.0,0.0
2.0,13.0,163.0,573.0,546.0,910.0,956.0,1143.0,1092.0,1085.0,619.0,856.0,481.0,443.0,364.0,410.0,245.0,84.0,15.0,0.0
1.0,2.0,87.0,411.0,382.0,678.0,709.0,988.0,887.0,1157.0,781.0,1044.0,681.0,650.0,510.0,557.0,324.0,124.0,27.0,0.0
0.0,2.0,54.0,226.0,265.0,494.0,506.0,853.0,726.0,1092.0,924.0,1129.0,840.0,848.0,632.0,689.0,468.0,210.0,40.0,2.0
0.0,1.0,30.0,143.0,179.0,380.0,326.0,673.0,551.0,909.0,1020.0,1056.0,1036.0,955.0,914.0,803.0,609.0,315.0,97.0,3.0
0.0,0.0,22.0,111.0,98.0,270.0,247.0,510.0,380.0,849.0,1084.0,1010.0,1116.0,1058.0,959.0,967.0,784.0,420.0,113.0,2.0
0.0,0.0,9.0,73.0,54.0,195.0,143.0,379.0,312.0,659.0,1116.0,905.0,1116.0,1108.0,1041.0,1056.0,1024.0,597.0,203.0,10.0
0.0,0.0,0.0,24.0,29.0,137.0,74.0,250.0,191.0,469.0,1033.0,740.0,1069.0,1132.0,1226.0,1211.0,1167.0,881.0,329.0,38.0
0.0,0.0,2.0,21.0,22.0,67.0,43.0,165.0,132.0,371.0,838.0,569.0,1018.0,1060.0,1232.0,1261.0,1378.0,1218.0,533.0,70.0
0.0,0.0,0.0,7.0,6.0,36.0,26.0,101.0,76.0,249.0,717.0,412.0,875.0,904.0,1132.0,1123.0,1550.0,1653.0,987.0,146.0
0.0,0.0,0.0,2.0,1.0,13.0,8.0,43.0,39.0,132.0,461.0,229.0,596.0,712.0,909.0,871.0,1338.0,2284.0,1888.0,474.0
0.0,0.0,0.0,2.0,0.0,3.0,0.0,12.0,9.0,45.0,184.0,106.0,252.0,328.0,443.0,396.0,716.0,1635.0,4147.0,1722.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,5.0,24.0,7.0,37.0,36.0,68.0,75.0,128.0,477.0,1608.0,7533.0
