Bayern Munich,Borussia Dortmund,RB Leipzig,VfB Stuttgart,TSG Hoffenheim,Bayer Leverkusen,SC Freiburg,Eintracht Frankfurt,FC Augsburg,Mainz,1. FC Union Berlin,FC Cologne,Borussia Mönchengladbach,Hamburg SV,Werder Bremen,St. Pauli,VfL Wolfsburg,1. FC Heidenheim 1846
10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,9702.0,290.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,284.0,8364.0,940.0,332.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,14.0,1199.0,5227.0,2747.0,813.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,134.0,2715.0,4493.0,2658.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,13.0,1110.0,2427.0,6444.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0,5.0,5511.0,4370.0,104.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,4246.0,4952.0,656.0,137.0,7.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,234.0,633.0,4824.0,3276.0,439.0,191.0,269.0,80.0,54.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,5.0,43.0,2859.0,3903.0,1052.0,839.0,754.0,315.0,230.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,937.0,1501.0,2069.0,2134.0,1580.0,990.0,772.0,16.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,393.0,686.0,2016.0,2031.0,1998.0,1497.0,1298.0,73.0,8.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,173.0,320.0,1763.0,1930.0,1917.0,1977.0,1714.0,171.0,35.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,123.0,1494.0,1588.0,1712.0,2195.0,2357.0,406.0,75.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,42.0,1043.0,1082.0,1382.0,2386.0,2956.0,909.0,196.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,117.0,201.0,379.0,550.0,607.0,5907.0,2204.0,32.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,9.0,8.0,12.0,2440.0,7144.0,383.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,337.0,9585.0
