Arsenal,Manchester City,Manchester United,Aston Villa,Liverpool,Brighton & Hove Albion,Chelsea,Brentford,AFC Bournemouth,Everton,Sunderland,Fulham,Crystal Palace,Newcastle United,Leeds United,Nottingham Forest,West Ham United,Tottenham Hotspur,Burnley,Wolverhampton Wanderers
6350.0,3650.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3650.0,6347.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,3.0,5429.0,2781.0,1784.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,3061.0,3978.0,2903.0,39.0,2.0,7.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1410.0,3009.0,4723.0,463.0,89.0,100.0,138.0,43.0,11.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,86.0,214.0,460.0,4412.0,1089.0,920.0,1442.0,714.0,368.0,265.0,20.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,12.0,14.0,93.0,2354.0,1926.0,1427.0,1722.0,1168.0,635.0,538.0,69.0,41.0,1.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,2.0,29.0,1309.0,1912.0,1660.0,1701.0,1448.0,906.0,805.0,141.0,77.0,9.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,6.0,790.0,1671.0,1811.0,1577.0,1588.0,1041.0,1082.0,256.0,155.0,23.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,2.0,385.0,1323.0,1636.0,1440.0,1713.0,1302.0,1444.0,401.0,291.0,63.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,174.0,1037.0,1206.0,974.0,1448.0,1649.0,1989.0,701.0,620.0,196.0,6.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,62.0,664.0,750.0,649.0,1114.0,2019.0,1855.0,1269.0,1210.0,388.0,20.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,9.0,234.0,369.0,249.0,531.0,1296.0,1197.0,2600.0,2383.0,1031.0,98.0,3.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,2.0,49.0,94.0,77.0,203.0,619.0,632.0,2725.0,3072.0,2168.0,325.0,29.0,5.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,4.0,19.0,21.0,29.0,150.0,170.0,1620.0,1752.0,4802.0,1178.0,167.0,88.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,10.0,196.0,365.0,1125.0,6300.0,1248.0,752.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,23.0,171.0,1688.0,4415.0,3702.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,23.0,385.0,4138.0,5453.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7688.0,2312.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2312.0,7688.0
