Barcelona,Real Madrid,Villarreal,Atlético Madrid,Real Betis,Celta Vigo,Real Sociedad,Getafe,Athletic Club,Osasuna,Girona,Espanyol,Valencia,Mallorca,Rayo Vallecano,Sevilla,Alavés,Elche,Levante,Real Oviedo
9911.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89.0,9880.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,31.0,8947.0,1022.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1022.0,8908.0,58.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,65.0,7871.0,1148.0,745.0,150.0,9.0,7.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,5.0,1548.0,4704.0,2294.0,979.0,158.0,149.0,41.0,89.0,6.0,4.0,18.0,2.0,0.0,3.0,0.0,0.0
0.0,0.0,0.0,0.0,444.0,2670.0,3367.0,1820.0,457.0,524.0,169.0,377.0,22.0,17.0,105.0,23.0,1.0,4.0,0.0,0.0
0.0,0.0,0.0,0.0,64.0,939.0,1821.0,2792.0,1121.0,1396.0,493.0,807.0,101.0,114.0,282.0,33.0,11.0,26.0,0.0,0.0
0.0,0.0,0.0,0.0,12.0,338.0,833.0,1770.0,1812.0,1743.0,879.0,1264.0,218.0,265.0,614.0,108.0,58.0,86.0,0.0,0.0
0.0,0.0,0.0,0.0,3.0,129.0,483.0,1025.0,1782.0,1707.0,1237.0,1356.0,439.0,493.0,804.0,217.0,136.0,185.0,4.0,0.0
0.0,0.0,0.0,0.0,0.0,44.0,236.0,699.0,1536.0,1469.0,1412.0,1372.0,635.0,718.0,1035.0,314.0,252.0,271.0,7.0,0.0
0.0,0.0,0.0,0.0,0.0,12.0,116.0,423.0,1251.0,1133.0,1330.0,1370.0,886.0,970.0,1136.0,506.0,381.0,469.0,14.0,3.0
0.0,0.0,0.0,0.0,0.0,5.0,57.0,190.0,841.0,775.0,1230.0,1129.0,1130.0,1156.0,1309.0,830.0,578.0,723.0,45.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,30.0,96.0,514.0,532.0,1036.0,892.0,1412.0,1330.0,1210.0,1016.0,910.0,939.0,79.0,4.0
0.0,0.0,0.0,0.0,0.0,0.0,13.0,39.0,317.0,305.0,873.0,652.0,1534.0,1348.0,1062.0,1268.0,1151.0,1238.0,170.0,30.0
0.0,0.0,0.0,0.0,0.0,0.0,3.0,15.0,130.0,154.0,633.0,391.0,1522.0,1301.0,966.0,1674.0,1436.0,1373.0,328.0,74.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,60.0,85.0,438.0,209.0,1195.0,1179.0,805.0,1770.0,1792.0,1681.0,610.0,173.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,21.0,207.0,79.0,756.0,789.0,531.0,1539.0,2308.0,1905.0,1308.0,546.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,21.0,9.0,137.0,272.0,115.0,599.0,833.0,885.0,5141.0,1987.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,44.0,8.0,101.0,153.0,212.0,2294.0,7181.0
