Barcelona,Real Madrid,Villarreal,Atlético Madrid,Real Betis,Getafe,Celta Vigo,Real Sociedad,Athletic Club,Osasuna,Rayo Vallecano,Espanyol,Girona,Valencia,Mallorca,Elche,Sevilla,Alavés,Levante,Real Oviedo
9967.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33.0,9956.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,11.0,9264.0,725.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,725.0,9190.0,79.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,83.0,8102.0,556.0,878.0,347.0,19.0,7.0,4.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,2.0,1386.0,2430.0,4014.0,1531.0,247.0,228.0,56.0,45.0,49.0,6.0,2.0,4.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,323.0,2877.0,2598.0,2407.0,626.0,569.0,160.0,156.0,207.0,27.0,24.0,21.0,4.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,98.0,2171.0,1438.0,2536.0,1121.0,1083.0,453.0,402.0,480.0,93.0,49.0,60.0,4.0,9.0,3.0,0.0
0.0,0.0,0.0,0.0,10.0,1065.0,629.0,1397.0,1907.0,1795.0,884.0,796.0,799.0,281.0,164.0,208.0,22.0,39.0,4.0,0.0
0.0,0.0,0.0,0.0,2.0,516.0,271.0,746.0,1850.0,1804.0,1238.0,1058.0,1139.0,451.0,351.0,423.0,53.0,77.0,21.0,0.0
0.0,0.0,0.0,0.0,0.0,229.0,104.0,490.0,1423.0,1507.0,1386.0,1262.0,1403.0,645.0,549.0,686.0,99.0,170.0,47.0,0.0
0.0,0.0,0.0,0.0,0.0,99.0,41.0,306.0,1061.0,1150.0,1447.0,1480.0,1327.0,820.0,833.0,910.0,162.0,288.0,76.0,0.0
0.0,0.0,0.0,0.0,0.0,37.0,14.0,127.0,797.0,757.0,1312.0,1448.0,1242.0,1120.0,1088.0,1156.0,294.0,448.0,159.0,1.0
0.0,0.0,0.0,0.0,0.0,12.0,7.0,68.0,489.0,524.0,1125.0,1190.0,1154.0,1366.0,1303.0,1282.0,532.0,650.0,290.0,8.0
0.0,0.0,0.0,0.0,0.0,7.0,1.0,35.0,288.0,308.0,820.0,917.0,887.0,1519.0,1421.0,1460.0,818.0,1051.0,448.0,20.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,123.0,142.0,572.0,657.0,686.0,1558.0,1467.0,1349.0,1229.0,1364.0,790.0,56.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,43.0,94.0,342.0,353.0,391.0,1149.0,1225.0,1151.0,1870.0,1890.0,1339.0,151.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,23.0,168.0,171.0,184.0,694.0,930.0,814.0,2400.0,2121.0,2172.0,316.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,33.0,64.0,50.0,258.0,498.0,421.0,2260.0,1530.0,3778.0,1099.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,96.0,54.0,253.0,362.0,873.0,8349.0
