Barcelona,Real Madrid,Villarreal,Atlético Madrid,Real Betis,Getafe,Celta Vigo,Real Sociedad,Athletic Club,Osasuna,Valencia,Rayo Vallecano,Espanyol,Girona,Alavés,Mallorca,Elche,Sevilla,Levante,Real Oviedo
9996.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,9984.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,12.0,9291.0,697.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,697.0,9211.0,80.0,0.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,86.0,8412.0,198.0,887.0,382.0,17.0,14.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,5.0,1210.0,1687.0,4588.0,1821.0,295.0,223.0,18.0,73.0,67.0,11.0,0.0,0.0,1.0,1.0,0.0,0.0
0.0,0.0,0.0,1.0,239.0,2634.0,2428.0,2730.0,666.0,723.0,76.0,228.0,187.0,54.0,5.0,3.0,23.0,3.0,0.0,0.0
0.0,0.0,0.0,0.0,57.0,2571.0,1166.0,2325.0,1224.0,1242.0,238.0,447.0,414.0,161.0,20.0,20.0,103.0,8.0,4.0,0.0
0.0,0.0,0.0,0.0,1.0,1553.0,563.0,1160.0,1860.0,1768.0,557.0,879.0,800.0,479.0,82.0,61.0,211.0,22.0,4.0,0.0
0.0,0.0,0.0,0.0,1.0,737.0,225.0,679.0,1759.0,1776.0,840.0,1283.0,1024.0,794.0,195.0,146.0,463.0,48.0,30.0,0.0
0.0,0.0,0.0,0.0,0.0,371.0,76.0,404.0,1393.0,1375.0,1187.0,1394.0,1254.0,1038.0,332.0,323.0,704.0,97.0,52.0,0.0
0.0,0.0,0.0,0.0,0.0,165.0,35.0,244.0,1054.0,1021.0,1419.0,1286.0,1325.0,1224.0,554.0,501.0,915.0,157.0,98.0,2.0
0.0,0.0,0.0,0.0,0.0,54.0,14.0,139.0,701.0,730.0,1462.0,1188.0,1345.0,1373.0,757.0,756.0,1045.0,272.0,161.0,3.0
0.0,0.0,0.0,0.0,0.0,21.0,3.0,65.0,474.0,491.0,1407.0,1040.0,1150.0,1310.0,1068.0,1025.0,1245.0,449.0,247.0,5.0
0.0,0.0,0.0,0.0,0.0,7.0,4.0,33.0,286.0,295.0,1225.0,894.0,927.0,1218.0,1340.0,1239.0,1372.0,736.0,401.0,23.0
0.0,0.0,0.0,0.0,0.0,2.0,0.0,15.0,165.0,200.0,830.0,631.0,719.0,1028.0,1580.0,1612.0,1318.0,1086.0,768.0,46.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,89.0,102.0,515.0,410.0,450.0,790.0,1840.0,1671.0,1195.0,1610.0,1207.0,119.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,30.0,193.0,205.0,230.0,389.0,1450.0,1506.0,909.0,2579.0,2184.0,308.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,33.0,40.0,103.0,128.0,688.0,958.0,440.0,2609.0,3981.0,1010.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,89.0,179.0,56.0,323.0,863.0,8484.0
