Barcelona,Real Madrid,Villarreal,Atlético Madrid,Real Betis,Getafe,Celta Vigo,Real Sociedad,Athletic Club,Osasuna,Rayo Vallecano,Valencia,Girona,Espanyol,Alavés,Mallorca,Elche,Sevilla,Levante,Real Oviedo
9996.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,9985.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,11.0,8970.0,1019.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1018.0,8970.0,11.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,11.0,8614.0,208.0,893.0,248.0,6.0,14.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1078.0,1818.0,4956.0,1618.0,96.0,274.0,38.0,21.0,19.0,66.0,1.0,0.0,15.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,242.0,2954.0,2261.0,2758.0,369.0,807.0,141.0,104.0,63.0,229.0,6.0,2.0,62.0,2.0,0.0,0.0
0.0,0.0,0.0,0.0,49.0,2507.0,1120.0,2558.0,834.0,1308.0,383.0,325.0,172.0,517.0,26.0,19.0,173.0,7.0,2.0,0.0
0.0,0.0,0.0,0.0,6.0,1255.0,446.0,1280.0,1520.0,1910.0,857.0,699.0,458.0,855.0,129.0,98.0,457.0,25.0,5.0,0.0
0.0,0.0,0.0,0.0,0.0,671.0,182.0,712.0,1649.0,1617.0,1153.0,1005.0,747.0,1024.0,220.0,186.0,765.0,48.0,21.0,0.0
0.0,0.0,0.0,0.0,0.0,329.0,82.0,401.0,1409.0,1316.0,1307.0,1167.0,1002.0,1117.0,358.0,323.0,1053.0,90.0,46.0,0.0
0.0,0.0,0.0,0.0,0.0,150.0,39.0,196.0,1266.0,916.0,1371.0,1347.0,1086.0,1228.0,514.0,492.0,1175.0,137.0,83.0,0.0
0.0,0.0,0.0,0.0,0.0,74.0,14.0,115.0,1028.0,699.0,1179.0,1285.0,1286.0,1268.0,678.0,742.0,1242.0,235.0,154.0,1.0
0.0,0.0,0.0,0.0,0.0,27.0,5.0,79.0,754.0,511.0,1159.0,1261.0,1293.0,1150.0,918.0,947.0,1316.0,388.0,191.0,1.0
0.0,0.0,0.0,0.0,0.0,4.0,1.0,29.0,540.0,299.0,1047.0,1174.0,1266.0,902.0,1284.0,1247.0,1170.0,628.0,404.0,5.0
0.0,0.0,0.0,0.0,0.0,3.0,0.0,5.0,325.0,177.0,702.0,885.0,1088.0,731.0,1608.0,1696.0,1060.0,977.0,724.0,19.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,164.0,101.0,455.0,503.0,902.0,516.0,1963.0,1719.0,819.0,1613.0,1201.0,43.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,44.0,184.0,191.0,469.0,288.0,1575.0,1524.0,487.0,2738.0,2333.0,130.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0,24.0,32.0,148.0,102.0,673.0,933.0,189.0,2957.0,4303.0,629.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,47.0,72.0,17.0,155.0,533.0,9172.0
