Arsenal,Manchester City,Manchester United,Liverpool,Aston Villa,Brighton & Hove Albion,AFC Bournemouth,Chelsea,Brentford,Fulham,Everton,Sunderland,Crystal Palace,Newcastle United,Leeds United,Nottingham Forest,West Ham United,Tottenham Hotspur,Burnley,Wolverhampton Wanderers
6901.0,3099.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3099.0,6901.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,6083.0,2687.0,1228.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,2715.0,4049.0,3194.0,32.0,0.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1113.0,3070.0,5123.0,529.0,20.0,63.0,65.0,14.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,81.0,172.0,433.0,5063.0,961.0,1245.0,1013.0,746.0,208.0,74.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,7.0,21.0,22.0,2134.0,1669.0,2179.0,1706.0,1384.0,604.0,248.0,20.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,1.0,0.0,1131.0,1917.0,2082.0,1759.0,1612.0,964.0,442.0,54.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,609.0,1817.0,1619.0,1845.0,1718.0,1501.0,691.0,121.0,68.0,9.0,2.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,337.0,1618.0,1282.0,1554.0,1772.0,1861.0,1059.0,273.0,181.0,55.0,8.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,127.0,1268.0,868.0,1191.0,1732.0,2172.0,1505.0,544.0,414.0,145.0,34.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,28.0,548.0,468.0,583.0,697.0,1648.0,2644.0,1365.0,1218.0,621.0,179.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,8.0,163.0,155.0,205.0,262.0,733.0,1858.0,2483.0,2324.0,1241.0,539.0,29.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,19.0,33.0,63.0,61.0,257.0,1062.0,2642.0,2629.0,2026.0,1109.0,89.0,10.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,7.0,1.0,48.0,364.0,1841.0,1925.0,3143.0,2268.0,307.0,90.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,53.0,624.0,1019.0,2262.0,4627.0,919.0,495.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,166.0,418.0,1062.0,4845.0,3480.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,80.0,172.0,3810.0,5925.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8327.0,1673.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1673.0,8327.0
