Barcelona,Real Madrid,Villarreal,Atlético Madrid,Real Betis,Getafe,Celta Vigo,Real Sociedad,Osasuna,Athletic Club,Rayo Vallecano,Valencia,Espanyol,Elche,Girona,Alavés,Mallorca,Sevilla,Levante,Real Oviedo
9991.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,9975.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,16.0,9536.0,448.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,448.0,9514.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,38.0,8987.0,189.0,538.0,202.0,44.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,736.0,2226.0,4605.0,1494.0,699.0,134.0,26.0,25.0,28.0,18.0,9.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,194.0,2626.0,2458.0,2473.0,1397.0,356.0,118.0,106.0,109.0,52.0,100.0,7.0,4.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,44.0,2221.0,1340.0,2449.0,1932.0,724.0,302.0,302.0,255.0,159.0,224.0,33.0,15.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0,1455.0,580.0,1468.0,2325.0,1370.0,628.0,590.0,581.0,391.0,434.0,109.0,65.0,2.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,709.0,287.0,852.0,1544.0,1754.0,1024.0,944.0,831.0,785.0,783.0,285.0,186.0,9.0,7.0,0.0
0.0,0.0,0.0,0.0,0.0,325.0,117.0,518.0,945.0,1602.0,1337.0,1180.0,1017.0,1028.0,1078.0,451.0,352.0,24.0,26.0,0.0
0.0,0.0,0.0,0.0,0.0,157.0,49.0,257.0,550.0,1232.0,1304.0,1415.0,1324.0,1280.0,1189.0,619.0,542.0,45.0,37.0,0.0
0.0,0.0,0.0,0.0,0.0,58.0,18.0,166.0,276.0,1034.0,1312.0,1383.0,1384.0,1394.0,1251.0,806.0,740.0,84.0,94.0,0.0
0.0,0.0,0.0,0.0,0.0,29.0,7.0,81.0,163.0,806.0,1256.0,1389.0,1394.0,1334.0,1201.0,1006.0,987.0,194.0,153.0,0.0
0.0,0.0,0.0,0.0,0.0,3.0,1.0,31.0,97.0,486.0,1090.0,1148.0,1247.0,1307.0,1268.0,1315.0,1317.0,348.0,342.0,0.0
0.0,0.0,0.0,0.0,0.0,2.0,0.0,9.0,25.0,320.0,862.0,859.0,984.0,1063.0,1091.0,1699.0,1789.0,624.0,667.0,6.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,159.0,529.0,497.0,571.0,807.0,918.0,2016.0,1866.0,1331.0,1274.0,29.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,189.0,145.0,239.0,304.0,363.0,1205.0,1383.0,3045.0,3011.0,98.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,23.0,17.0,36.0,78.0,91.0,433.0,699.0,4095.0,4064.0,461.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,55.0,199.0,324.0,9406.0
