Barcelona,Real Madrid,Villarreal,Atlético Madrid,Real Betis,Celta Vigo,Getafe,Athletic Club,Real Sociedad,Osasuna,Rayo Vallecano,Espanyol,Valencia,Elche,Mallorca,Girona,Alavés,Sevilla,Levante,Real Oviedo
500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,475.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,25.0,475.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,456.0,19.0,13.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,38.0,224.0,114.0,19.0,91.0,12.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,6.0,134.0,143.0,50.0,113.0,38.0,5.0,7.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,57.0,114.0,87.0,134.0,58.0,17.0,19.0,0.0,7.0,5.0,2.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,41.0,61.0,121.0,73.0,114.0,19.0,36.0,5.0,11.0,12.0,6.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,17.0,39.0,99.0,42.0,125.0,36.0,44.0,8.0,49.0,19.0,19.0,3.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,6.0,10.0,59.0,15.0,70.0,77.0,57.0,32.0,74.0,64.0,29.0,6.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,2.0,6.0,35.0,9.0,40.0,89.0,66.0,44.0,70.0,83.0,36.0,17.0,3.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,8.0,23.0,63.0,82.0,62.0,78.0,89.0,48.0,21.0,5.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,15.0,57.0,70.0,99.0,58.0,75.0,61.0,31.0,19.0,5.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,5.0,58.0,63.0,100.0,55.0,59.0,74.0,57.0,20.0,6.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,28.0,83.0,49.0,48.0,112.0,79.0,35.0,14.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,19.0,48.0,33.0,34.0,84.0,154.0,79.0,27.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,18.0,8.0,12.0,22.0,100.0,214.0,110.0,4.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,4.0,0.0,6.0,30.0,118.0,309.0,30.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,28.0,465.0
