Palmeiras,Flamengo,Fluminense,São Paulo,Athletico Paranaense,Bahia,Coritiba,Red Bull Bragantino,Botafogo,Vasco da Gama,Grêmio,Cruzeiro,Vitória,Corinthians,Atlético-MG,Internacional,Santos,Remo,Mirassol,Chapecoense
8091.0,1527.0,259.0,80.0,40.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1526.0,5705.0,1742.0,609.0,330.0,13.0,57.0,4.0,5.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
301.0,1907.0,3974.0,2055.0,1154.0,112.0,343.0,23.0,48.0,19.0,18.0,21.0,7.0,2.0,2.0,2.0,12.0,0.0,0.0,0.0
65.0,622.0,2184.0,3123.0,2134.0,422.0,849.0,88.0,166.0,87.0,84.0,43.0,48.0,5.0,6.0,17.0,53.0,4.0,0.0,0.0
13.0,176.0,1013.0,2119.0,2711.0,929.0,1401.0,256.0,453.0,222.0,227.0,132.0,119.0,38.0,15.0,60.0,111.0,5.0,0.0,0.0
3.0,48.0,450.0,997.0,1526.0,1631.0,1872.0,584.0,796.0,493.0,486.0,306.0,233.0,134.0,35.0,125.0,263.0,18.0,0.0,0.0
1.0,10.0,210.0,472.0,805.0,1690.0,1574.0,892.0,1097.0,769.0,699.0,447.0,394.0,188.0,102.0,255.0,346.0,47.0,2.0,0.0
0.0,3.0,82.0,247.0,501.0,1354.0,1124.0,1042.0,1167.0,992.0,890.0,628.0,524.0,322.0,148.0,390.0,505.0,79.0,2.0,0.0
0.0,1.0,45.0,144.0,318.0,1124.0,887.0,1134.0,1060.0,1003.0,954.0,726.0,671.0,461.0,214.0,515.0,615.0,127.0,1.0,0.0
0.0,0.0,26.0,82.0,188.0,832.0,571.0,1055.0,1068.0,1045.0,970.0,825.0,776.0,580.0,341.0,654.0,799.0,179.0,8.0,1.0
0.0,1.0,5.0,35.0,122.0,604.0,413.0,992.0,928.0,1095.0,1054.0,918.0,852.0,700.0,438.0,788.0,796.0,241.0,18.0,0.0
0.0,0.0,6.0,17.0,62.0,436.0,332.0,957.0,860.0,947.0,968.0,974.0,921.0,827.0,542.0,874.0,923.0,313.0,39.0,2.0
0.0,0.0,2.0,9.0,46.0,329.0,218.0,853.0,684.0,857.0,896.0,937.0,973.0,990.0,698.0,999.0,973.0,429.0,102.0,5.0
0.0,0.0,0.0,7.0,31.0,208.0,162.0,645.0,578.0,759.0,812.0,969.0,1068.0,1121.0,905.0,1048.0,990.0,557.0,134.0,6.0
0.0,0.0,1.0,4.0,13.0,156.0,108.0,530.0,453.0,642.0,717.0,929.0,1009.0,1165.0,1108.0,1125.0,1025.0,818.0,189.0,8.0
0.0,0.0,0.0,0.0,10.0,94.0,47.0,430.0,322.0,481.0,541.0,901.0,917.0,1281.0,1404.0,1137.0,949.0,1062.0,399.0,25.0
0.0,0.0,1.0,0.0,7.0,39.0,30.0,312.0,190.0,336.0,386.0,676.0,811.0,1166.0,1783.0,1036.0,834.0,1524.0,802.0,67.0
0.0,0.0,0.0,0.0,2.0,19.0,8.0,165.0,87.0,214.0,231.0,426.0,501.0,771.0,1569.0,719.0,576.0,2487.0,1970.0,255.0
0.0,0.0,0.0,0.0,0.0,7.0,2.0,37.0,36.0,34.0,60.0,134.0,162.0,230.0,629.0,232.0,203.0,1854.0,5053.0,1327.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,5.0,5.0,7.0,14.0,19.0,61.0,24.0,21.0,256.0,1281.0,8304.0
