Barcelona,Real Madrid,Villarreal,Atlético Madrid,Real Betis,Celta Vigo,Getafe,Athletic Club,Real Sociedad,Osasuna,Rayo Vallecano,Valencia,Espanyol,Elche,Mallorca,Girona,Alavés,Sevilla,Levante,Real Oviedo
9999.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,9998.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,9389.0,610.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,610.0,9389.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,1.0,9658.0,231.0,4.0,3.0,99.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,312.0,6774.0,553.0,394.0,1634.0,213.0,115.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,28.0,1966.0,1737.0,1061.0,3467.0,1043.0,601.0,13.0,40.0,17.0,22.0,5.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0,670.0,2297.0,1746.0,2020.0,1778.0,1173.0,56.0,82.0,56.0,95.0,26.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,264.0,1935.0,2101.0,1226.0,1950.0,1665.0,150.0,237.0,164.0,227.0,70.0,9.0,2.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,74.0,1609.0,1929.0,751.0,1939.0,2000.0,249.0,379.0,382.0,436.0,223.0,23.0,6.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,18.0,1133.0,1458.0,430.0,1564.0,2090.0,448.0,740.0,826.0,771.0,415.0,84.0,20.0,3.0,0.0
0.0,0.0,0.0,0.0,0.0,3.0,483.0,701.0,190.0,778.0,1131.0,946.0,1285.0,1735.0,1628.0,752.0,287.0,75.0,6.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,184.0,368.0,109.0,396.0,603.0,1347.0,1503.0,1822.0,1844.0,1178.0,455.0,167.0,24.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,52.0,173.0,50.0,221.0,338.0,1748.0,1727.0,1510.0,1717.0,1403.0,717.0,293.0,51.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,11.0,61.0,19.0,91.0,188.0,1947.0,1599.0,1337.0,1414.0,1693.0,1091.0,439.0,110.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,5.0,20.0,79.0,1788.0,1226.0,1009.0,1093.0,2058.0,1617.0,838.0,259.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,16.0,983.0,807.0,755.0,491.0,1461.0,2885.0,1856.0,738.0,5.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,292.0,343.0,342.0,220.0,628.0,2138.0,3901.0,2094.0,41.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,28.0,45.0,41.0,88.0,681.0,2358.0,6417.0,309.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,45.0,298.0,9644.0
