Arsenal,Manchester City,Manchester United,Liverpool,Aston Villa,AFC Bournemouth,Brentford,Brighton & Hove Albion,Chelsea,Fulham,Everton,Sunderland,Newcastle United,Leeds United,Crystal Palace,Nottingham Forest,Tottenham Hotspur,West Ham United,Burnley,Wolverhampton Wanderers
8213.0,1787.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1787.0,8212.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,9771.0,181.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,227.0,6572.0,3184.0,5.0,4.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,3057.0,6338.0,132.0,103.0,218.0,145.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,167.0,388.0,2511.0,1407.0,2814.0,1860.0,453.0,356.0,42.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,21.0,40.0,2165.0,1920.0,2430.0,1843.0,806.0,663.0,97.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,2.0,3.0,1913.0,2192.0,1800.0,1694.0,1072.0,1008.0,222.0,79.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1464.0,2077.0,1402.0,1461.0,1467.0,1395.0,460.0,232.0,16.0,26.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1204.0,1384.0,824.0,1266.0,1833.0,2030.0,761.0,561.0,75.0,51.0,11.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,543.0,722.0,389.0,950.0,2145.0,2203.0,1261.0,1331.0,289.0,127.0,40.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,61.0,174.0,101.0,509.0,1366.0,1366.0,2609.0,2243.0,937.0,462.0,172.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,2.0,17.0,20.0,215.0,658.0,657.0,2476.0,2918.0,1704.0,895.0,437.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,42.0,169.0,267.0,1506.0,1711.0,3211.0,1948.0,1107.0,33.0,5.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,31.0,44.0,516.0,729.0,2375.0,3784.0,2314.0,166.0,33.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,50.0,178.0,1291.0,2566.0,4655.0,1025.0,230.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,101.0,125.0,1107.0,6602.0,2064.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,157.0,2173.0,7668.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7725.0,2275.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2275.0,7725.0
